prediction_id,route,stop_name,licence,predicted_eta_min,actual_eta_min,accuracy_min,accuracy_percentage,prediction_time,actual_arrival_time
1762594636_10-1159_Phuket_Fantasea,Rawai -> Airport,Phuket Fantasea,10-1159,20,21.19,1.19,94.06,2025-11-08T16:37:16.665310,2025-11-08T16:58:27.903779
1762594822_10-1149_Karon_Stadium,Rawai -> Airport,Karon Stadium,10-1149,8,18.09,10.09,-26.13,2025-11-08T16:40:22.502119,2025-11-08T16:58:27.928552
1762595566_10-1159_Phuket_Fantasea,Rawai -> Airport,Phuket Fantasea,10-1159,3,5.69,2.69,10.18,2025-11-08T16:52:46.323610,2025-11-08T16:58:28.002624
1762595194_10-1149_Secret_cliff_resort_,Rawai -> Airport,Secret cliff resort ,10-1149,14,26.87,12.87,8.09,2025-11-08T16:46:34.281587,2025-11-08T17:13:26.342181
1762596123_10-1149_Secret_cliff_resort_,Rawai -> Airport,Secret cliff resort ,10-1149,5,11.37,6.37,-27.48,2025-11-08T17:02:03.976602,2025-11-08T17:13:26.418875
1762595938_10-1155_Karon_Stadium,Rawai -> Airport,Karon Stadium,10-1155,18,22.78,4.78,73.43,2025-11-08T16:58:58.303094,2025-11-08T17:21:45.205440
1762596495_10-1210_Phuket_Fantasea,Rawai -> Airport,Phuket Fantasea,10-1210,17,24.37,7.37,56.67,2025-11-08T17:08:15.449143,2025-11-08T17:32:37.378664
1762598734_10-1209_Beyond_hotel_Kata,Rawai -> Airport,Beyond hotel Kata,10-1209,0,2.09,2.09,0.0,2025-11-08T17:45:34.503379,2025-11-08T17:47:40.055696
1762598173_10-1209_Woraburi_Karon,Rawai -> Airport,Woraburi Karon,10-1209,17,22.34,5.34,68.57,2025-11-08T17:36:13.975662,2025-11-08T17:58:34.567286
1762598547_10-1209_Karon_Circle,Rawai -> Airport,Karon Circle,10-1209,11,17.15,6.15,44.07,2025-11-08T17:42:27.823468,2025-11-08T17:59:36.961226
1762599295_10-1209_Karon_Circle,Rawai -> Airport,Karon Circle,10-1209,3,4.7,1.7,43.42,2025-11-08T17:54:55.179572,2025-11-08T17:59:37.031545
1762596867_10-1204_Andaman_Cannacia_Resort,Rawai -> Airport,Andaman Cannacia Resort,10-1204,16,59.22,43.22,-170.1,2025-11-08T17:14:27.720940,2025-11-08T18:13:40.711514
1762598360_10-1210_Laguna,Rawai -> Airport,Laguna,10-1210,9,34.34,25.34,-181.57,2025-11-08T17:39:20.375757,2025-11-08T18:13:40.844174
1762599108_10-1210_Laguna,Rawai -> Airport,Laguna,10-1210,3,21.88,18.88,-529.18,2025-11-08T17:51:48.369921,2025-11-08T18:13:40.893069
1762599669_10-1148_Intercontinental_Kamala,Airport -> Rawai,Intercontinental Kamala,10-1148,12,12.52,0.52,95.66,2025-11-08T18:01:09.709657,2025-11-08T18:13:40.936962
1762598921_10-1149_Big_C_Kamala,Rawai -> Airport,Big C Kamala,10-1149,18,29.67,11.67,35.16,2025-11-08T17:48:41.447802,2025-11-08T18:18:21.680895
1762600044_10-1204_Woraburi_Karon,Rawai -> Airport,Woraburi Karon,10-1204,15,21.35,6.35,57.64,2025-11-08T18:07:24.689072,2025-11-08T18:28:45.926931
1762600981_10-1148_Diamond_Cliff_Resort_&_Spa,Airport -> Rawai,Diamond Cliff Resort & Spa,10-1148,10,8.35,-1.65,83.48,2025-11-08T18:23:01.541183,2025-11-08T18:31:22.396604
1762600232_10-1204_Secret_cliff_resort_,Rawai -> Airport,Secret cliff resort ,10-1204,18,29.16,11.16,37.98,2025-11-08T18:10:32.164831,2025-11-08T18:39:41.947489
1762600607_10-1204_Secret_cliff_resort_,Rawai -> Airport,Secret cliff resort ,10-1204,14,22.91,8.91,36.33,2025-11-08T18:16:47.142413,2025-11-08T18:39:41.990251
1762601356_10-1210_Thalang_Public_Health_Office,Rawai -> Airport,Thalang Public Health Office,10-1210,2,20.3,18.3,-815.14,2025-11-08T18:29:16.345861,2025-11-08T18:49:34.519496
1762602292_10-1210_Thalang_Public_Health_Office,Rawai -> Airport,Thalang Public Health Office,10-1210,2,4.7,2.7,-34.92,2025-11-08T18:44:52.677247,2025-11-08T18:49:34.580572
1762600419_10-1212_Laguna,Airport -> Rawai,Laguna,10-1212,20,41.11,21.11,-5.55,2025-11-08T18:13:39.758720,2025-11-08T18:54:46.359603
1762600794_10-1212_Cherngtalay_School,Airport -> Rawai,Cherngtalay School,10-1212,17,34.87,17.87,-5.1,2025-11-08T18:19:54.408571,2025-11-08T18:54:46.383971
1762601543_10-1148_Patong_PEA,Airport -> Rawai,Patong PEA,10-1148,4,24.45,20.45,-411.28,2025-11-08T18:32:23.901164,2025-11-08T18:56:50.969082
1762602479_10-1196_Kalim_School,Airport -> Rawai,Kalim School,10-1196,8,9.38,1.38,82.81,2025-11-08T18:47:59.860982,2025-11-08T18:57:22.394014
1762599857_10-1148_Karon_Circle,Airport -> Rawai,Karon Circle,10-1148,46,67.12,21.12,54.09,2025-11-08T18:04:17.232330,2025-11-08T19:11:24.310720
1762603228_10-1148_Karon_Circle,Airport -> Rawai,Karon Circle,10-1148,9,10.94,1.94,78.49,2025-11-08T19:00:28.266844,2025-11-08T19:11:24.425478
1762603602_10-1205_OZO_Kata,Rawai -> Airport,OZO Kata,10-1205,7,8.86,1.86,73.5,2025-11-08T19:06:42.642127,2025-11-08T19:15:33.952978
1762601168_10-1148_Karon_Stadium,Airport -> Rawai,Karon Stadium,10-1148,29,50.46,21.46,25.99,2025-11-08T18:26:08.756406,2025-11-08T19:16:36.595631
1762603977_10-1148_Karon_Stadium,Airport -> Rawai,Karon Stadium,10-1148,4,3.66,-0.34,91.55,2025-11-08T19:12:57.002650,2025-11-08T19:16:36.713435
1762602667_10-1196_Indigo_Patong,Airport -> Rawai,Indigo Patong,10-1196,10,32.26,22.26,-122.55,2025-11-08T18:51:07.107273,2025-11-08T19:23:22.423243
1762603789_10-1148_Kata_Palm,Airport -> Rawai,Kata Palm,10-1148,9,14.58,5.58,37.96,2025-11-08T19:09:49.847466,2025-11-08T19:24:24.842337
1762604538_10-1212_Diamond_Cliff_Resort_&_Spa,Airport -> Rawai,Diamond Cliff Resort & Spa,10-1212,2,4.18,2.18,-9.03,2025-11-08T19:22:18.964744,2025-11-08T19:26:29.800223
1762604913_10-1159_Thalang_Public_Health_Office,Airport -> Rawai,Thalang Public Health Office,10-1159,0,0.02,0.02,0.0,2025-11-08T19:28:33.491396,2025-11-08T19:28:34.630212
1762603041_10-1148_Sai_Yuan,Airport -> Rawai,Sai Yuan,10-1148,30,40.06,10.06,66.47,2025-11-08T18:57:21.336356,2025-11-08T19:37:24.817292
1762604164_10-1148_Sai_Yuan,Airport -> Rawai,Sai Yuan,10-1148,16,21.34,5.34,66.61,2025-11-08T19:16:04.259391,2025-11-08T19:37:24.844549
1762604726_10-1196_Woraburi_Karon,Airport -> Rawai,Woraburi Karon,10-1196,11,17.16,6.16,43.99,2025-11-08T19:25:26.335086,2025-11-08T19:42:36.014073
1762605848_10-1204_Lotus_Cherngtalay,Rawai -> Airport,Lotus Cherngtalay,10-1204,0,0.54,0.54,0.0,2025-11-08T19:44:08.961377,2025-11-08T19:44:41.545200
1762605100_10-1209_Baan_Khian,Rawai -> Airport,Baan Khian,10-1209,12,14.05,2.05,82.92,2025-11-08T19:31:40.724033,2025-11-08T19:45:43.697972
1762602854_10-1196_Kata_Palm,Airport -> Rawai,Kata Palm,10-1196,30,56.16,26.16,12.79,2025-11-08T18:54:14.208372,2025-11-08T19:50:24.012947
1762607905_10-1205_Bangla_Patong_,Rawai -> Airport,Bangla Patong ,10-1205,0,0.02,0.02,0.0,2025-11-08T20:18:25.499011,2025-11-08T20:18:26.649310
1762609030_10-1205_Phuket_Fantasea,Rawai -> Airport,Phuket Fantasea,10-1205,6,6.27,0.27,95.52,2025-11-08T20:37:10.134563,2025-11-08T20:43:26.277357
1762609405_10-1155_Thalang_Public_Health_Office,Airport -> Rawai,Thalang Public Health Office,10-1155,7,7.3,0.3,95.67,2025-11-08T20:43:25.102040,2025-11-08T20:50:43.273303
1762609217_10-1149_Phuket_Fantasea,Airport -> Rawai,Phuket Fantasea,10-1149,7,11.5,4.5,35.68,2025-11-08T20:40:17.489293,2025-11-08T20:51:47.644457
1762609592_10-1205_Baan_Khian,Rawai -> Airport,Baan Khian,10-1205,21,21.19,0.19,99.12,2025-11-08T20:46:32.585230,2025-11-08T21:07:43.687865
1762610798_10-1155_Surin_Beach,Airport -> Rawai,Surin Beach,10-1155,3,4.21,1.21,59.65,2025-11-08T21:06:38.991219,2025-11-08T21:10:51.614127
1762610987_10-1155_Diamond_Cliff_Resort_&_Spa,Airport -> Rawai,Diamond Cliff Resort & Spa,10-1155,22,18.82,-3.18,85.54,2025-11-08T21:09:47.815559,2025-11-08T21:28:36.962897
1762609994_10-1149_Woraburi_Karon,Airport -> Rawai,Woraburi Karon,10-1149,33,56.28,23.28,29.45,2025-11-08T20:53:14.508125,2025-11-08T21:49:31.420045
1762613244_10-1209_Thalang_Public_Health_Office,Airport -> Rawai,Thalang Public Health Office,10-1209,4,6.33,2.33,41.63,2025-11-08T21:47:24.774273,2025-11-08T21:53:44.855048
1762612679_10-1204_Kalim_Bus_Stop,Airport -> Rawai,Kalim Bus Stop,10-1204,20,19.42,-0.58,97.11,2025-11-08T21:37:59.282041,2025-11-08T21:57:24.592911
1762612867_10-1204_Diamond_Cliff_Resort_&_Spa,Airport -> Rawai,Diamond Cliff Resort & Spa,10-1204,20,17.32,-2.68,86.61,2025-11-08T21:41:07.767581,2025-11-08T21:58:27.146185
1762615309_10-1209_Big_C_Kamala,Airport -> Rawai,Big C Kamala,10-1209,1,2.8,1.8,-79.56,2025-11-08T22:21:49.017599,2025-11-08T22:24:36.755720
1762614932_10-1205_Laguna,Airport -> Rawai,Laguna,10-1205,14,11.17,-2.83,79.78,2025-11-08T22:15:32.076389,2025-11-08T22:26:42.215703
1762614555_10-1209_Patong_PEA,Airport -> Rawai,Patong PEA,10-1209,31,54.32,23.32,24.78,2025-11-08T22:09:15.627609,2025-11-08T23:03:34.711154
1762615497_10-1209_Woraburi_Karon,Airport -> Rawai,Woraburi Karon,10-1209,32,48.75,16.75,47.65,2025-11-08T22:24:57.050066,2025-11-08T23:13:42.253894
1762616993_10-1205_Karon_Stadium,Airport -> Rawai,Karon Stadium,10-1205,29,48.8,19.8,31.71,2025-11-08T22:49:53.891983,2025-11-08T23:38:42.052145
1762619804_10-1205_Karon_Stadium,Airport -> Rawai,Karon Stadium,10-1205,2,1.96,-0.04,98.0,2025-11-08T23:36:44.584839,2025-11-08T23:38:42.187640
1762619613_10-1205_Sai_Yuan,Airport -> Rawai,Sai Yuan,10-1205,21,17.9,-3.1,85.26,2025-11-08T23:33:33.291784,2025-11-08T23:51:27.530341
1762641605_10-1204_Bangla_Patong_,Rawai -> Airport,Bangla Patong ,10-1204,11,18.51,7.51,31.7,2025-11-09T05:40:05.747136,2025-11-09T05:58:36.505643
1762643083_10-1204_Big_C_Kamala,Rawai -> Airport,Big C Kamala,10-1204,15,12.31,-2.69,82.05,2025-11-09T06:04:43.779415,2025-11-09T06:17:02.237036
1762644372_10-1204_Lotus_Cherngtalay,Rawai -> Airport,Lotus Cherngtalay,10-1204,5,4.91,-0.09,98.26,2025-11-09T06:26:12.260146,2025-11-09T06:31:07.040290
1762643267_10-1155_Secret_cliff_resort_,Rawai -> Airport,Secret cliff resort ,10-1155,13,24.41,11.41,12.24,2025-11-09T06:07:47.266952,2025-11-09T06:32:11.828485
1762644557_10-1204_Thalang_Public_Health_Office,Rawai -> Airport,Thalang Public Health Office,10-1204,17,15.92,-1.08,93.64,2025-11-09T06:29:17.242418,2025-11-09T06:45:12.363840
1762648155_10-1151_Kalim_School,Airport -> Rawai,Kalim School,10-1151,28,25.03,-2.97,89.38,2025-11-09T07:29:15.546238,2025-11-09T07:54:17.174448
1762652639_10-1204_Karon_Circle,Airport -> Rawai,Karon Circle,10-1204,60,70.89,10.89,81.85,2025-11-09T08:43:59.969745,2025-11-09T09:54:53.369649
1762654161_10-1149_Surin_Beach,Airport -> Rawai,Surin Beach,10-1149,32,45.53,13.53,57.73,2025-11-09T09:09:21.869646,2025-11-09T09:54:53.384883
1762655138_10-1149_Kamala_Muslim_Cemetery,Airport -> Rawai,Kamala Muslim Cemetery,10-1149,25,29.25,4.25,83.01,2025-11-09T09:25:38.551935,2025-11-09T09:54:53.405185
1762659893_10-1207_Cherngtalay_School,Rawai -> Airport,Cherngtalay School,10-1207,10,11.49,1.49,85.1,2025-11-09T10:44:53.209174,2025-11-09T10:56:22.631882
1762663738_10-1204_Karon_Circle,Rawai -> Airport,Karon Circle,10-1204,6,7.93,1.93,67.85,2025-11-09T11:48:58.302269,2025-11-09T11:56:54.029103
1762670582_10-1209_Woraburi_Karon,Rawai -> Airport,Woraburi Karon,10-1209,9,15.02,6.02,33.12,2025-11-09T13:43:02.586702,2025-11-09T13:58:03.761705
1762670860_10-1207_Phuket_Fantasea,Airport -> Rawai,Phuket Fantasea,10-1207,30,30.25,0.25,99.17,2025-11-09T13:47:40.963172,2025-11-09T14:17:55.941864
1762672674_10-1205_Kamala_Muslim_Cemetery,Airport -> Rawai,Kamala Muslim Cemetery,10-1205,34,40.03,6.03,82.25,2025-11-09T14:17:54.517433,2025-11-09T14:57:56.615843
1762758290_10-1148_OZO_Phuket,Airport -> Rawai,OZO Phuket,10-1148,7,10.7,3.7,47.11,2025-11-10T14:04:50.504143,2025-11-10T14:15:32.646362
1762758922_10-1152_Woraburi_Karon,Rawai -> Airport,Woraburi Karon,10-1152,3,4.83,1.83,39.06,2025-11-10T14:15:22.139027,2025-11-10T14:20:11.824512
1762758740_10-1148_Andaman_Cannacia_Resort,Airport -> Rawai,Andaman Cannacia Resort,10-1148,5,8.88,3.88,22.45,2025-11-10T14:12:20.188631,2025-11-10T14:21:12.842008
1762759479_10-1159_Kalim_School,Airport -> Rawai,Kalim School,10-1159,11,10.33,-0.67,93.89,2025-11-10T14:24:39.633368,2025-11-10T14:34:59.292388
1762759108_10-1207_Cherngtalay_School,Airport -> Rawai,Cherngtalay School,10-1207,14,17.03,3.03,78.36,2025-11-10T14:18:28.273350,2025-11-10T14:35:30.041764
1762760038_10-1219_Kathu_Fresh_Market,Bus 2 -> Bus 1 -> Patong,Kathu Fresh Market,10-1219,5,6.2,1.2,76.08,2025-11-10T14:33:58.365442,2025-11-10T14:40:10.112712
1762759849_10-1151_OZO_Phuket,Airport -> Rawai,OZO Phuket,10-1151,17,17.58,0.58,96.57,2025-11-10T14:30:49.712427,2025-11-10T14:48:24.713550
1762760224_10-1264_Phuket_Thaihua_Museum,Dragon Line,Phuket Thaihua Museum,10-1264,6,18.11,12.11,-101.85,2025-11-10T14:37:04.994775,2025-11-10T14:55:11.660186
1762761150_10-1264_Phuket_Thaihua_Museum,Dragon Line,Phuket Thaihua Museum,10-1264,0,2.69,2.69,0.0,2025-11-10T14:52:30.359919,2025-11-10T14:55:11.710700
1762760966_10-1152_Four_Point_Patong,Rawai -> Airport,Four Point Patong,10-1152,5,12.93,7.93,-58.54,2025-11-10T14:49:26.606292,2025-11-10T15:02:22.222083
1762762067_10-1152_Phuket_Fantasea,Rawai -> Airport,Phuket Fantasea,10-1152,9,9.85,0.85,90.53,2025-11-10T15:07:47.669982,2025-11-10T15:17:38.818646
1762761701_10-1264_Old_Town_Intersection,Dragon Line,Old Town Intersection,10-1264,1,23.6,22.6,-2160.49,2025-11-10T15:01:41.259800,2025-11-10T15:25:17.551856
1762762434_10-1264_Royal_Phuket_City_Hotel,Dragon Line,Royal Phuket City Hotel,10-1264,2,11.39,9.39,-369.28,2025-11-10T15:13:54.447696,2025-11-10T15:25:17.584681
1762762617_10-1210_Baan_Khian,Rawai -> Airport,Baan Khian,10-1210,12,20.59,8.59,28.43,2025-11-10T15:16:57.813798,2025-11-10T15:37:33.093283
1762763535_10-1207_Secret_cliff_resort_,Airport -> Rawai,Secret cliff resort ,10-1207,6,7.33,1.33,77.83,2025-11-10T15:32:15.963622,2025-11-10T15:39:35.757983
1762759665_10-1148_Beyond_hotel_Kata,Rawai -> Airport,Beyond hotel Kata,10-1148,8,73.36,65.36,-716.99,2025-11-10T14:27:45.691733,2025-11-10T15:41:07.258693
1762763352_10-1148_Kata_Palm,Rawai -> Airport,Kata Palm,10-1148,11,12.95,1.95,82.29,2025-11-10T15:29:12.085650,2025-11-10T15:42:08.950857
1762763720_10-1264_Surin_Circle_Clock_Tower,Dragon Line,Surin Circle Clock Tower,10-1264,2,12.94,10.94,-446.87,2025-11-10T15:35:20.127709,2025-11-10T15:48:16.373010
1762763168_10-1205_Patong_PEA,Airport -> Rawai,Patong PEA,10-1205,24,33.37,9.37,60.95,2025-11-10T15:26:08.538224,2025-11-10T15:59:30.898064
1762764087_10-1155_Kalim_School,Rawai -> Airport,Kalim School,10-1155,6,18.57,12.57,-109.48,2025-11-10T15:41:27.839297,2025-11-10T16:00:01.971423
1762764639_10-1221_Andamanda_Phuket_Waterpark,Bus 2 -> Bus 1 -> Patong,Andamanda Phuket Waterpark,10-1221,9,15.51,6.51,27.66,2025-11-10T15:50:39.039958,2025-11-10T16:06:09.675335
1762765926_10-1265_Mc_Donald's,Dragon Line,Mc Donald's,10-1265,1,1.2,0.2,80.45,2025-11-10T16:12:06.724352,2025-11-10T16:13:18.451803
1762764823_10-1221_PTT_Station_Kathu,Bus 2 -> Bus 1 -> Patong,PTT Station Kathu,10-1221,11,20.61,9.61,12.68,2025-11-10T15:53:43.203079,2025-11-10T16:14:19.506094
1762763904_10-1219_Sanamchai,Patong -> Bus 1 -> Bus 2,Sanamchai,10-1219,30,42.07,12.07,59.78,2025-11-10T15:38:24.103756,2025-11-10T16:20:28.055747
1762765375_10-1209_Lotus_Cherngtalay,Airport -> Rawai,Lotus Cherngtalay,10-1209,14,17.55,3.55,74.61,2025-11-10T16:02:55.231986,2025-11-10T16:20:28.476037
1762766481_10-1148_Four_Point_Patong,Rawai -> Airport,Four Point Patong,10-1148,5,13.36,8.36,-67.26,2025-11-10T16:21:21.036507,2025-11-10T16:34:42.806030
1762766850_10-1264_Municipal_Parking,Dragon Line,Municipal Parking,10-1264,5,7.21,2.21,55.81,2025-11-10T16:27:30.275992,2025-11-10T16:34:42.831836
1762767039_10-1147_Laguna,Airport -> Rawai,Laguna,10-1147,10,15.66,5.66,43.43,2025-11-10T16:30:39.585345,2025-11-10T16:46:19.011463
1762766110_10-1209_Diamond_Cliff_Resort_&_Spa,Airport -> Rawai,Diamond Cliff Resort & Spa,10-1209,30,32.2,2.2,92.65,2025-11-10T16:15:10.465038,2025-11-10T16:47:22.716652
1762767989_10-1148_Big_C_Kamala,Rawai -> Airport,Big C Kamala,10-1148,3,4.06,1.06,64.7,2025-11-10T16:46:29.778896,2025-11-10T16:50:33.324624
1762767799_10-1264_Municipal_Parking,Dragon Line,Municipal Parking,10-1264,3,11.95,8.95,-198.5,2025-11-10T16:43:19.779431,2025-11-10T16:55:17.075283
1762768559_10-1219_Phuket_Wittayalai_School,Bus 2 -> Bus 1 -> Patong,Phuket Wittayalai School,10-1219,1,2.46,1.46,-46.14,2025-11-10T16:55:59.097254,2025-11-10T16:58:26.782905
1762768180_10-1265_Queen_Sirikit_Park,Dragon Line,Queen Sirikit Park,10-1265,0,20.85,20.85,0.0,2025-11-10T16:49:40.108765,2025-11-10T17:10:31.390649
1762768369_10-1265_Government_Savings_Bank,Dragon Line,Government Savings Bank,10-1265,1,17.69,16.69,-1569.22,2025-11-10T16:52:49.886345,2025-11-10T17:10:31.419729
1762768938_10-1265_Mc_Donald's,Dragon Line,Mc Donald's,10-1265,4,8.22,4.22,-5.52,2025-11-10T17:02:18.189706,2025-11-10T17:10:31.446021
1762769504_10-1219_Chillva_Market,Bus 2 -> Bus 1 -> Patong,Chillva Market,10-1219,2,8.87,6.87,-243.57,2025-11-10T17:11:44.744789,2025-11-10T17:20:37.023854
1762769877_10-1265_Pearl_Hotel_Phuket,Dragon Line,Pearl Hotel Phuket,10-1265,0,6.24,6.24,0.0,2025-11-10T17:17:57.741295,2025-11-10T17:24:11.902410
1762770251_10-1209_Kata_Palm,Airport -> Rawai,Kata Palm,10-1209,3,4.09,1.09,63.65,2025-11-10T17:24:11.404131,2025-11-10T17:28:16.837228
1762767609_10-1209_Andaman_Cannacia_Resort,Airport -> Rawai,Andaman Cannacia Resort,10-1209,37,57.32,20.32,45.07,2025-11-10T16:40:09.607121,2025-11-10T17:37:28.955425
1762770618_10-1221_Andamanda_Phuket_Waterpark,Patong -> Bus 1 -> Bus 2,Andamanda Phuket Waterpark,10-1221,6,10.24,4.24,29.39,2025-11-10T17:30:18.899276,2025-11-10T17:40:33.088262
1762770987_10-1219_PTT_Station_Kathu,Bus 2 -> Bus 1 -> Patong,PTT Station Kathu,10-1219,1,5.12,4.12,-311.96,2025-11-10T17:36:27.138626,2025-11-10T17:41:34.314928
1762771355_10-1221_Chillva_Market,Patong -> Bus 1 -> Bus 2,Chillva Market,10-1221,1,1.54,0.54,45.54,2025-11-10T17:42:35.341475,2025-11-10T17:44:08.016729
1762767229_10-1209_Sai_Yuan,Airport -> Rawai,Sai Yuan,10-1209,52,71.33,19.33,62.83,2025-11-10T16:33:49.601122,2025-11-10T17:45:09.251168
1762771171_10-1209_Sai_Yuan,Airport -> Rawai,Sai Yuan,10-1209,5,5.63,0.63,87.33,2025-11-10T17:39:31.318011,2025-11-10T17:45:09.333952
1762769693_10-1196_Thalang_Public_Health_Office,Airport -> Rawai,Thalang Public Health Office,10-1196,17,38.43,21.43,-26.05,2025-11-10T17:14:53.892998,2025-11-10T17:53:19.555405
1762771907_10-1149_Kalim_School,Airport -> Rawai,Kalim School,10-1149,15,3892.59,3877.59,-25750.61,2025-11-10T17:51:47.341471,2025-11-13T10:44:22.838904
1763005462_10-1265_Mongkhonnimit_Temple,Dragon Line,Mongkhonnimit Temple,10-1265,4,8.88,4.88,-22.07,2025-11-13T10:44:22.033860,2025-11-13T10:53:14.994897
1763005651_10-1149_Karon_Stadium,Airport -> Rawai,Karon Stadium,10-1149,12,12.58,0.58,95.19,2025-11-13T10:47:31.393120,2025-11-13T11:00:06.030744
1763005835_10-1149_Sai_Yuan,Airport -> Rawai,Sai Yuan,10-1149,23,26.39,3.39,85.25,2025-11-13T10:50:35.866243,2025-11-13T11:16:59.388340
1763006395_10-1265_WANLAMUN_&_EGG_E_EGG_@_OLD_TOWN,Dragon Line,WANLAMUN & EGG E EGG @ OLD TOWN,10-1265,9,18.11,9.11,-1.25,2025-11-13T10:59:55.040175,2025-11-13T11:18:01.764501
1763007686_10-1205_Kata_Palm,Airport -> Rawai,Kata Palm,10-1205,2,2.74,0.74,62.97,2025-11-13T11:21:26.365579,2025-11-13T11:24:10.798973
1763008610_10-1265_Mc_Donald's,Dragon Line,Mc Donald's,10-1265,3,5.36,2.36,21.35,2025-11-13T11:36:50.924864,2025-11-13T11:42:12.494042
1763007316_10-1152_Baan_Khian,Rawai -> Airport,Baan Khian,10-1152,21,38.09,17.09,18.6,2025-11-13T11:15:16.359207,2025-11-13T11:53:21.957563
1763008983_10-1265_WANLAMUN_&_EGG_E_EGG_@_OLD_TOWN,Dragon Line,WANLAMUN & EGG E EGG @ OLD TOWN,10-1265,3,11.33,8.33,-177.65,2025-11-13T11:43:03.532616,2025-11-13T11:54:23.296937
1763009908_10-1212_Laguna,Airport -> Rawai,Laguna,10-1212,3,3.59,0.59,80.33,2025-11-13T11:58:28.417938,2025-11-13T12:02:03.831259
1763009355_10-1223_Phuket_Wittayalai_School,Patong -> Bus 1 -> Bus 2,Phuket Wittayalai School,10-1223,18,23.05,5.05,71.94,2025-11-13T11:49:15.404544,2025-11-13T12:12:18.450224
1763010461_10-1265_WANLAMUN_&_EGG_E_EGG_@_OLD_TOWN,Dragon Line,WANLAMUN & EGG E EGG @ OLD TOWN,10-1265,6,13.34,7.34,-22.32,2025-11-13T12:07:41.062283,2025-11-13T12:21:01.409665
1763010645_10-1265_Krungsri_Bank,Dragon Line,Krungsri Bank,10-1265,6,10.26,4.26,28.95,2025-11-13T12:10:45.642701,2025-11-13T12:21:01.416865
1763011386_10-1265_Phuket_Thaihua_Museum,Dragon Line,Phuket Thaihua Museum,10-1265,0,0.01,0.01,0.0,2025-11-13T12:23:06.494648,2025-11-13T12:23:07.376874
1763007871_10-1207_Holiday_Inn_Resort_Patong,Airport -> Rawai,Holiday Inn Resort Patong,10-1207,52,83.77,31.77,38.9,2025-11-13T11:24:31.142194,2025-11-13T12:48:17.372413
1763010092_10-1149_Patong_Bus_Stop,Rawai -> Airport,Patong Bus Stop,10-1149,30,46.75,16.75,44.18,2025-11-13T12:01:32.628910,2025-11-13T12:48:17.449805
1763012896_10-1205_Andaman_Cannacia_Resort,Rawai -> Airport,Andaman Cannacia Resort,10-1205,13,11.89,-1.11,91.44,2025-11-13T12:48:16.834510,2025-11-13T13:00:10.049057
1763014010_10-1212_Secret_cliff_resort_,Airport -> Rawai,Secret cliff resort ,10-1212,0,0.53,0.53,0.0,2025-11-13T13:06:50.759187,2025-11-13T13:07:22.433788
1763010276_10-1149_Four_Point_Patong,Rawai -> Airport,Four Point Patong,10-1149,35,63.29,28.29,19.17,2025-11-13T12:04:36.765464,2025-11-13T13:07:54.165210
1763013085_10-1221_Sanamchai,Patong -> Bus 1 -> Bus 2,Sanamchai,10-1221,18,18.53,0.53,97.04,2025-11-13T12:51:25.204876,2025-11-13T13:09:57.214755
1763006030_10-1218_Vachira_Phuket_Hospital,Bus 2 -> Bus 1 -> Patong,Vachira Phuket Hospital,10-1218,14,140.21,126.21,-801.52,2025-11-13T10:53:50.336485,2025-11-13T13:14:03.121225
1763013270_10-1210_Kalim_Bus_Stop,Airport -> Rawai,Kalim Bus Stop,10-1210,20,20.57,0.57,97.14,2025-11-13T12:54:30.028021,2025-11-13T13:15:04.396299
1763009540_10-1212_Beyond_hotel_Kata,Airport -> Rawai,Beyond hotel Kata,10-1212,71,89.91,18.91,73.36,2025-11-13T11:52:20.062568,2025-11-13T13:22:14.943117
1763014932_10-1148_Four_Point_Patong,Rawai -> Airport,Four Point Patong,10-1148,5,7.08,2.08,58.4,2025-11-13T13:22:12.622804,2025-11-13T13:29:17.411163
1763015117_10-1218_Siko,Bus 2 -> Bus 1 -> Patong,Siko,10-1218,7,9.2,2.2,68.59,2025-11-13T13:25:17.082925,2025-11-13T13:34:28.999382
1763015679_10-1218_Siko,Bus 2 -> Bus 1 -> Patong,Siko,10-1218,0,0.34,0.34,0.0,2025-11-13T13:34:39.425012,2025-11-13T13:35:00.065792
1763015304_10-1219_Kathu_Police_Station,Patong -> Bus 1 -> Bus 2,Kathu Police Station,10-1219,11,10.67,-0.33,97.03,2025-11-13T13:28:24.956827,2025-11-13T13:39:05.357792
