prediction_id,route,stop_name,licence,predicted_eta_min,actual_eta_min,accuracy_min,accuracy_percentage,prediction_time,actual_arrival_time
1762492263_10-1147_Big_C_Kamala,Rawai -> Airport,Big C Kamala,10-1147,6,5.1,-0.9,85.0,2025-11-07T12:11:03.121151,2025-11-07T12:16:09.116475
1762492079_10-1147_Phuket_Fantasea,Rawai -> Airport,Phuket Fantasea,10-1147,11,10.19,-0.81,92.65,2025-11-07T12:07:59.972454,2025-11-07T12:18:11.481524
1762493179_10-1209_Kata_Palm,Rawai -> Airport,Kata Palm,10-1209,6,9.17,3.17,47.12,2025-11-07T12:26:19.670191,2025-11-07T12:35:30.020330
1762493546_10-1210_Big_C_Kamala,Rawai -> Airport,Big C Kamala,10-1210,6,4.59,-1.41,76.5,2025-11-07T12:32:26.184566,2025-11-07T12:37:01.587704
1762492813_10-1147_Laguna,Rawai -> Airport,Laguna,10-1147,12,18.84,6.84,42.97,2025-11-07T12:20:13.194395,2025-11-07T12:39:03.818954
1762494096_10-1209_Karon_Stadium,Rawai -> Airport,Karon Stadium,10-1209,1,0.52,-0.48,51.63,2025-11-07T12:41:36.129780,2025-11-07T12:42:07.110513
1762492996_10-1147_Baan_Khian,Rawai -> Airport,Baan Khian,10-1147,19,23.93,4.93,74.03,2025-11-07T12:23:16.385893,2025-11-07T12:47:12.412692
1762494462_10-1209_Four_Point_Patong,Rawai -> Airport,Four Point Patong,10-1209,18,18.37,0.37,97.94,2025-11-07T12:47:42.775828,2025-11-07T13:06:05.056200
1762494279_10-1152_Andaman_Cannacia_Resort,Airport -> Rawai,Andaman Cannacia Resort,10-1152,20,22.45,2.45,87.76,2025-11-07T12:44:39.365789,2025-11-07T13:07:06.274842
1762493729_10-1205_Kalim_School,Airport -> Rawai,Kalim School,10-1205,32,32.63,0.63,98.03,2025-11-07T12:35:29.584681,2025-11-07T13:08:07.426224
1762494646_10-1209_Kalim_School,Rawai -> Airport,Kalim School,10-1209,16,17.36,1.36,91.52,2025-11-07T12:50:46.101373,2025-11-07T13:08:07.473008
1762495013_10-1209_Kalim_School,Rawai -> Airport,Kalim School,10-1209,10,11.24,1.24,87.6,2025-11-07T12:56:53.098619,2025-11-07T13:08:07.520949
1762493912_10-1209_Kalim_Bus_Stop,Rawai -> Airport,Kalim Bus Stop,10-1209,28,30.6,2.6,90.72,2025-11-07T12:38:32.935831,2025-11-07T13:09:08.777958
1762495748_10-1210_Baan_Khian,Rawai -> Airport,Baan Khian,10-1210,1,1.03,0.03,97.43,2025-11-07T13:09:08.357591,2025-11-07T13:10:09.898007
1762492446_10-1196_Woraburi_Karon,Rawai -> Airport,Woraburi Karon,10-1196,26,66.25,40.25,-54.79,2025-11-07T12:14:06.443600,2025-11-07T13:20:21.184091
1762496115_10-1196_Secret_cliff_resort_,Rawai -> Airport,Secret cliff resort ,10-1196,11,12.24,1.24,88.74,2025-11-07T13:15:15.037387,2025-11-07T13:27:29.356301
1762494829_10-1205_Holiday_Inn_Resort_Patong,Airport -> Rawai,Holiday Inn Resort Patong,10-1205,25,34.17,9.17,63.32,2025-11-07T12:53:49.614645,2025-11-07T13:27:59.834351
1762495196_10-1205_Secret_cliff_resort_,Airport -> Rawai,Secret cliff resort ,10-1205,26,34.16,8.16,68.6,2025-11-07T12:59:56.791973,2025-11-07T13:34:06.603769
1762495931_10-1207_Phuket_Fantasea,Airport -> Rawai,Phuket Fantasea,10-1207,16,21.92,5.92,63.02,2025-11-07T13:12:11.631347,2025-11-07T13:34:06.653891
1762496665_10-1207_Big_C_Kamala,Airport -> Rawai,Big C Kamala,10-1207,10,12.75,2.75,72.54,2025-11-07T13:24:25.409951,2025-11-07T13:37:10.193355
1762497950_10-1209_Laguna,Rawai -> Airport,Laguna,10-1209,1,0.52,-0.48,51.83,2025-11-07T13:45:50.161028,2025-11-07T13:46:21.257148
1762498317_10-1196_Bangla_Patong_,Rawai -> Airport,Bangla Patong ,10-1196,0,0.01,0.01,0.0,2025-11-07T13:51:57.579395,2025-11-07T13:51:58.149373
1762498133_10-1151_Thalang_Public_Health_Office,Airport -> Rawai,Thalang Public Health Office,10-1151,2,4.6,2.6,-30.09,2025-11-07T13:48:53.741113,2025-11-07T13:53:29.853906
1762498868_10-1148_Secret_cliff_resort_,Rawai -> Airport,Secret cliff resort ,10-1148,1,2.05,1.05,-4.81,2025-11-07T14:01:08.589832,2025-11-07T14:03:11.473978
