licence,route,stop_id,stop_name,stop_index,registration_time,arrival_time,eta_min_T0,eta_ts_T0,error_T0,eta_min_T15,eta_ts_T15,error_T15,eta_min_T30,eta_ts_T30,error_T30,eta_min_T45,eta_ts_T45,error_T45,eta_min_T60,eta_ts_T60,error_T60,eta_min_T75,eta_ts_T75,error_T75,eta_min_T90,eta_ts_T90,error_T90,eta_min_T105,eta_ts_T105,error_T105,eta_min_T120,eta_ts_T120,error_T120
10-1150,Airport -> Rawai,49,Intercontinental Kamala,4912,2025-12-08T15:18:25.504168,,46,2025-12-08T16:04:25.504168,,46.0,2025-12-08T16:19:34.189016,,46.0,2025-12-08T16:34:42.753088,,46.0,2025-12-08T16:49:51.008921,,46.0,2025-12-08T17:04:29.229626,,46.0,2025-12-08T17:19:37.716900,,46.0,2025-12-08T17:34:46.440918,,46.0,2025-12-08T17:49:55.082675,,46.0,2025-12-08T18:04:33.967803,
10-1150,Airport -> Rawai,50,Kamala Muslim Cemetery,5026,2025-12-08T15:18:25.504168,,47,2025-12-08T16:05:25.504168,,47.0,2025-12-08T16:20:34.189016,,47.0,2025-12-08T16:35:42.753088,,47.0,2025-12-08T16:50:51.008921,,47.0,2025-12-08T17:05:29.229626,,47.0,2025-12-08T17:20:37.716900,,47.0,2025-12-08T17:35:46.440918,,47.0,2025-12-08T17:50:55.082675,,47.0,2025-12-08T18:05:33.967803,
10-1150,Airport -> Rawai,51,Phuket Fantasea,5136,2025-12-08T15:18:25.504168,,49,2025-12-08T16:07:25.504168,,49.0,2025-12-08T16:22:34.189016,,49.0,2025-12-08T16:37:42.753088,,49.0,2025-12-08T16:52:51.008921,,49.0,2025-12-08T17:07:29.229626,,49.0,2025-12-08T17:22:37.716900,,49.0,2025-12-08T17:37:46.440918,,49.0,2025-12-08T17:52:55.082675,,49.0,2025-12-08T18:07:33.967803,
10-1150,Airport -> Rawai,52,Big C Kamala,5396,2025-12-08T15:18:25.504168,,52,2025-12-08T16:10:25.504168,,52.0,2025-12-08T16:25:34.189016,,52.0,2025-12-08T16:40:42.753088,,52.0,2025-12-08T16:55:51.008921,,52.0,2025-12-08T17:10:29.229626,,52.0,2025-12-08T17:25:37.716900,,52.0,2025-12-08T17:40:46.440918,,52.0,2025-12-08T17:55:55.082675,,52.0,2025-12-08T18:10:33.967803,
10-1150,Airport -> Rawai,53,Kalim Bus Stop,6450,2025-12-08T15:18:25.504168,,65,2025-12-08T16:23:25.504168,,65.0,2025-12-08T16:38:34.189016,,65.0,2025-12-08T16:53:42.753088,,65.0,2025-12-08T17:08:51.008921,,65.0,2025-12-08T17:23:29.229626,,65.0,2025-12-08T17:38:37.716900,,65.0,2025-12-08T17:53:46.440918,,65.0,2025-12-08T18:08:55.082675,,65.0,2025-12-08T18:23:33.967803,
10-1150,Airport -> Rawai,54,Kalim School,6540,2025-12-08T15:18:25.504168,,66,2025-12-08T16:24:25.504168,,66.0,2025-12-08T16:39:34.189016,,66.0,2025-12-08T16:54:42.753088,,66.0,2025-12-08T17:09:51.008921,,66.0,2025-12-08T17:24:29.229626,,66.0,2025-12-08T17:39:37.716900,,66.0,2025-12-08T17:54:46.440918,,66.0,2025-12-08T18:09:55.082675,,66.0,2025-12-08T18:24:33.967803,
10-1150,Airport -> Rawai,55,Diamond Cliff Resort & Spa,6630,2025-12-08T15:18:25.504168,,68,2025-12-08T16:26:25.504168,,68.0,2025-12-08T16:41:34.189016,,68.0,2025-12-08T16:56:42.753088,,68.0,2025-12-08T17:11:51.008921,,68.0,2025-12-08T17:26:29.229626,,68.0,2025-12-08T17:41:37.716900,,68.0,2025-12-08T17:56:46.440918,,68.0,2025-12-08T18:11:55.082675,,68.0,2025-12-08T18:26:33.967803,
10-1150,Airport -> Rawai,56,Indigo Patong,6893,2025-12-08T15:18:25.504168,,73,2025-12-08T16:31:25.504168,,73.0,2025-12-08T16:46:34.189016,,73.0,2025-12-08T17:01:42.753088,,73.0,2025-12-08T17:16:51.008921,,73.0,2025-12-08T17:31:29.229626,,73.0,2025-12-08T17:46:37.716900,,73.0,2025-12-08T18:01:46.440918,,73.0,2025-12-08T18:16:55.082675,,73.0,2025-12-08T18:31:33.967803,
10-1150,Airport -> Rawai,57,Patong PEA,7083,2025-12-08T15:18:25.504168,,77,2025-12-08T16:35:25.504168,,77.0,2025-12-08T16:50:34.189016,,77.0,2025-12-08T17:05:42.753088,,77.0,2025-12-08T17:20:51.008921,,77.0,2025-12-08T17:35:29.229626,,77.0,2025-12-08T17:50:37.716900,,77.0,2025-12-08T18:05:46.440918,,77.0,2025-12-08T18:20:55.082675,,77.0,2025-12-08T18:35:33.967803,
10-1150,Airport -> Rawai,58,Holiday Inn Resort Patong,7169,2025-12-08T15:18:25.504168,,79,2025-12-08T16:37:25.504168,,79.0,2025-12-08T16:52:34.189016,,79.0,2025-12-08T17:07:42.753088,,79.0,2025-12-08T17:22:51.008921,,79.0,2025-12-08T17:37:29.229626,,79.0,2025-12-08T17:52:37.716900,,79.0,2025-12-08T18:07:46.440918,,79.0,2025-12-08T18:22:55.082675,,79.0,2025-12-08T18:37:33.967803,
10-1150,Airport -> Rawai,59,Secret cliff resort ,7899,2025-12-08T15:18:25.504168,,92,2025-12-08T16:50:25.504168,,92.0,2025-12-08T17:05:34.189016,,92.0,2025-12-08T17:20:42.753088,,92.0,2025-12-08T17:35:51.008921,,92.0,2025-12-08T17:50:29.229626,,92.0,2025-12-08T18:05:37.716900,,92.0,2025-12-08T18:20:46.440918,,92.0,2025-12-08T18:35:55.082675,,92.0,2025-12-08T18:50:33.967803,
10-1150,Airport -> Rawai,60,Karon Circle,8431,2025-12-08T15:18:25.504168,,98,2025-12-08T16:56:25.504168,,98.0,2025-12-08T17:11:34.189016,,98.0,2025-12-08T17:26:42.753088,,98.0,2025-12-08T17:41:51.008921,,98.0,2025-12-08T17:56:29.229626,,98.0,2025-12-08T18:11:37.716900,,98.0,2025-12-08T18:26:46.440918,,98.0,2025-12-08T18:41:55.082675,,98.0,2025-12-08T18:56:33.967803,
10-1150,Airport -> Rawai,61,Woraburi Karon,8523,2025-12-08T15:18:25.504168,,99,2025-12-08T16:57:25.504168,,99.0,2025-12-08T17:12:34.189016,,99.0,2025-12-08T17:27:42.753088,,99.0,2025-12-08T17:42:51.008921,,99.0,2025-12-08T17:57:29.229626,,99.0,2025-12-08T18:12:37.716900,,99.0,2025-12-08T18:27:46.440918,,99.0,2025-12-08T18:42:55.082675,,99.0,2025-12-08T18:57:33.967803,
10-1150,Airport -> Rawai,62,Karon Stadium,8823,2025-12-08T15:18:25.504168,,103,2025-12-08T17:01:25.504168,,103.0,2025-12-08T17:16:34.189016,,103.0,2025-12-08T17:31:42.753088,,103.0,2025-12-08T17:46:51.008921,,103.0,2025-12-08T18:01:29.229626,,103.0,2025-12-08T18:16:37.716900,,103.0,2025-12-08T18:31:46.440918,,103.0,2025-12-08T18:46:55.082675,,103.0,2025-12-08T19:01:33.967803,
10-1150,Airport -> Rawai,63,OZO Phuket,8979,2025-12-08T15:18:25.504168,,106,2025-12-08T17:04:25.504168,,106.0,2025-12-08T17:19:34.189016,,106.0,2025-12-08T17:34:42.753088,,106.0,2025-12-08T17:49:51.008921,,106.0,2025-12-08T18:04:29.229626,,106.0,2025-12-08T18:19:37.716900,,106.0,2025-12-08T18:34:46.440918,,106.0,2025-12-08T18:49:55.082675,,106.0,2025-12-08T19:04:33.967803,
10-1150,Airport -> Rawai,64,Kata Palm,9111,2025-12-08T15:18:25.504168,,108,2025-12-08T17:06:25.504168,,108.0,2025-12-08T17:21:34.189016,,108.0,2025-12-08T17:36:42.753088,,108.0,2025-12-08T17:51:51.008921,,108.0,2025-12-08T18:06:29.229626,,108.0,2025-12-08T18:21:37.716900,,108.0,2025-12-08T18:36:46.440918,,108.0,2025-12-08T18:51:55.082675,,108.0,2025-12-08T19:06:33.967803,
10-1150,Airport -> Rawai,65,Beyond hotel Kata,9157,2025-12-08T15:18:25.504168,,109,2025-12-08T17:07:25.504168,,109.0,2025-12-08T17:22:34.189016,,109.0,2025-12-08T17:37:42.753088,,109.0,2025-12-08T17:52:51.008921,,109.0,2025-12-08T18:07:29.229626,,109.0,2025-12-08T18:22:37.716900,,109.0,2025-12-08T18:37:46.440918,,109.0,2025-12-08T18:52:55.082675,,109.0,2025-12-08T19:07:33.967803,
