licence,route,stop_id,stop_name,stop_index,registration_time,arrival_time,eta_min_T0,eta_ts_T0,error_T0,eta_min_T15,eta_ts_T15,error_T15,eta_min_T30,eta_ts_T30,error_T30,eta_min_T45,eta_ts_T45,error_T45,eta_min_T60,eta_ts_T60,error_T60,eta_min_T75,eta_ts_T75,error_T75,eta_min_T90,eta_ts_T90,error_T90,eta_min_T105,eta_ts_T105,error_T105,eta_min_T120,eta_ts_T120,error_T120
10-1149,Airport -> Rawai,43,Thalang Public Health Office,2368,2025-12-02T10:18:15.489103,2025-12-02T10:21:18.101129,1.0,2025-12-02T10:19:15.489103,2.04,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,44,Baan Khian,2586,2025-12-02T10:18:15.489103,,4.0,2025-12-02T10:22:15.489103,,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,45,Cherngtalay School,3541,2025-12-02T10:18:15.489103,2025-12-02T10:35:26.377859,13.0,2025-12-02T10:31:15.489103,4.18,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,46,Laguna,3576,2025-12-02T10:18:15.489103,2025-12-02T10:35:26.377859,13.0,2025-12-02T10:31:15.489103,4.18,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,47,Lotus Cherngtalay,3837,2025-12-02T10:18:15.489103,,17.0,2025-12-02T10:35:15.489103,,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,48,Surin Beach,4456,2025-12-02T10:18:15.489103,,23.0,2025-12-02T10:41:15.489103,,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,49,Intercontinental Kamala,4912,2025-12-02T10:18:15.489103,,27.0,2025-12-02T10:45:15.489103,,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,50,Kamala Muslim Cemetery,5026,2025-12-02T10:18:15.489103,,28.0,2025-12-02T10:46:15.489103,,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,51,Phuket Fantasea,5136,2025-12-02T10:18:15.489103,,29.0,2025-12-02T10:47:15.489103,,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,52,Big C Kamala,5396,2025-12-02T10:18:15.489103,,32.0,2025-12-02T10:50:15.489103,,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,53,Kalim Bus Stop,6450,2025-12-02T10:18:15.489103,,42.0,2025-12-02T11:00:15.489103,,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,54,Kalim School,6540,2025-12-02T10:18:15.489103,,43.0,2025-12-02T11:01:15.489103,,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,55,Diamond Cliff Resort & Spa,6630,2025-12-02T10:18:15.489103,,45.0,2025-12-02T11:03:15.489103,,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,56,Indigo Patong,6893,2025-12-02T10:18:15.489103,,49.0,2025-12-02T11:07:15.489103,,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,57,Patong PEA,7083,2025-12-02T10:18:15.489103,,53.0,2025-12-02T11:11:15.489103,,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,58,Holiday Inn Resort Patong,7169,2025-12-02T10:18:15.489103,,55.0,2025-12-02T11:13:15.489103,,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,59,Secret cliff resort ,7899,2025-12-02T10:18:15.489103,,63.0,2025-12-02T11:21:15.489103,,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,60,Karon Circle,8431,2025-12-02T10:18:15.489103,,67.0,2025-12-02T11:25:15.489103,,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,61,Woraburi Karon,8523,2025-12-02T10:18:15.489103,,69.0,2025-12-02T11:27:15.489103,,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,62,Karon Stadium,8823,2025-12-02T10:18:15.489103,,72.0,2025-12-02T11:30:15.489103,,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,63,OZO Phuket,8979,2025-12-02T10:18:15.489103,,74.0,2025-12-02T11:32:15.489103,,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,64,Kata Palm,9111,2025-12-02T10:18:15.489103,,76.0,2025-12-02T11:34:15.489103,,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,65,Beyond hotel Kata,9157,2025-12-02T10:18:15.489103,,76.0,2025-12-02T11:34:15.489103,,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,66,Andaman Cannacia Resort,9327,2025-12-02T10:18:15.489103,,79.0,2025-12-02T11:37:15.489103,,,,,,,,,,,,,,,,,,,,,,,,,
10-1149,Airport -> Rawai,67,Sai Yuan,10247,2025-12-02T10:18:15.489103,,87.0,2025-12-02T11:45:15.489103,,,,,,,,,,,,,,,,,,,,,,,,,
10-1223,Bus 2 -> Bus 1 -> Patong,72,Vachira Phuket Hospital,2334,2025-12-02T10:18:15.489429,2025-12-02T10:19:16.517611,,,,,,,,,,,,,,,,,,,,,,,,,,,
