licence,route,stop_id,stop_name,stop_index,registration_time,arrival_time,eta_min_T0,eta_ts_T0,error_T0,eta_min_T15,eta_ts_T15,error_T15,eta_min_T30,eta_ts_T30,error_T30,eta_min_T45,eta_ts_T45,error_T45,eta_min_T60,eta_ts_T60,error_T60,eta_min_T75,eta_ts_T75,error_T75,eta_min_T90,eta_ts_T90,error_T90,eta_min_T105,eta_ts_T105,error_T105,eta_min_T120,eta_ts_T120,error_T120
10-1148,Rawai -> Airport,27,Patong Bus Stop,3674,2025-12-02T11:11:30.321449,2025-12-02T11:25:12.941851,2.0,2025-12-02T11:13:30.321449,11.71,,,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,28,Bangla Patong ,3858,2025-12-02T11:11:30.321449,,6.0,2025-12-02T11:17:30.321449,,1.0,2025-12-02T11:27:44.187343,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,29,Four Point Patong,4204,2025-12-02T11:11:30.321449,,13.0,2025-12-02T11:24:30.321449,,8.0,2025-12-02T11:34:44.187343,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,30,Kalim School,4320,2025-12-02T11:11:30.321449,,13.0,2025-12-02T11:24:30.321449,,9.0,2025-12-02T11:35:44.187343,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,31,Kalim Bus Stop,4437,2025-12-02T11:11:30.321449,,15.0,2025-12-02T11:26:30.321449,,10.0,2025-12-02T11:36:44.187343,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,32,Big C Kamala,5519,2025-12-02T11:11:30.321449,,25.0,2025-12-02T11:36:30.321449,,21.0,2025-12-02T11:47:44.187343,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,33,Phuket Fantasea,5751,2025-12-02T11:11:30.321449,,27.0,2025-12-02T11:38:30.321449,,23.0,2025-12-02T11:49:44.187343,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,34,Kamala Muslim Cemetery,5863,2025-12-02T11:11:30.321449,,28.0,2025-12-02T11:39:30.321449,,24.0,2025-12-02T11:50:44.187343,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,35,Cafe De Mar,5945,2025-12-02T11:11:30.321449,,29.0,2025-12-02T11:40:30.321449,,24.0,2025-12-02T11:50:44.187343,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,36,Surin Beach,6442,2025-12-02T11:11:30.321449,,34.0,2025-12-02T11:45:30.321449,,29.0,2025-12-02T11:55:44.187343,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,37,Lotus Cherngtalay,7024,2025-12-02T11:11:30.321449,,40.0,2025-12-02T11:51:30.321449,,36.0,2025-12-02T12:02:44.187343,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,38,Laguna,7313,2025-12-02T11:11:30.321449,,45.0,2025-12-02T11:56:30.321449,,40.0,2025-12-02T12:06:44.187343,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,39,Cherngtalay School,7346,2025-12-02T11:11:30.321449,,45.0,2025-12-02T11:56:30.321449,,40.0,2025-12-02T12:06:44.187343,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,40,Baan Khian,8300,2025-12-02T11:11:30.321449,,55.0,2025-12-02T12:06:30.321449,,50.0,2025-12-02T12:16:44.187343,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,41,Thalang Public Health Office,8532,2025-12-02T11:11:30.321449,,57.0,2025-12-02T12:08:30.321449,,52.0,2025-12-02T12:18:44.187343,,,,,,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,110,Dcondo Campus Kuku,522,2025-12-02T11:11:30.321818,2025-12-02T11:12:31.803017,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,111,Soi Thachin,680,2025-12-02T11:11:30.321818,2025-12-02T11:13:32.813405,2.0,2025-12-02T11:13:30.321818,0.04,,,,,,,,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,112,Big C Mini Kingkaew,789,2025-12-02T11:11:30.321818,2025-12-02T11:14:33.646109,3.0,2025-12-02T11:14:30.321818,0.06,,,,,,,,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,113,Baan Natkamon,939,2025-12-02T11:11:30.321818,2025-12-02T11:15:34.485856,4.0,2025-12-02T11:15:30.321818,0.07,,,,,,,,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,114,Phuket Provincial Cooperative Office,1116,2025-12-02T11:11:30.321818,2025-12-02T11:16:35.287231,6.0,2025-12-02T11:17:30.321818,-0.92,,,,,,,,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,115,Sanamchai,1246,2025-12-02T11:11:30.321818,2025-12-02T11:17:36.103347,7.0,2025-12-02T11:18:30.321818,-0.9,,,,,,,,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,68,Phuket Bus Terminal 1,1587,2025-12-02T11:11:30.321818,2025-12-02T11:17:36.103347,14.0,2025-12-02T11:25:30.321818,-7.9,,,,,,,,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,69,Sanamchai,1886,2025-12-02T11:11:30.321818,2025-12-02T11:17:36.103347,22.0,2025-12-02T11:33:30.321818,-15.9,,,,,,,,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,70,Satree Phuket School,2019,2025-12-02T11:11:30.321818,,24.0,2025-12-02T11:35:30.321818,,,,,,,,,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,71,Phuket Wittayalai School,2111,2025-12-02T11:11:30.321818,,25.0,2025-12-02T11:36:30.321818,,,,,,,,,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,72,Vachira Phuket Hospital,2334,2025-12-02T11:11:30.321818,,29.0,2025-12-02T11:40:30.321818,,,,,,,,,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,73,Bangkok Hospital Phuket,2559,2025-12-02T11:11:30.321818,,32.0,2025-12-02T11:43:30.321818,,,,,,,,,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,74,Chillva Market,2715,2025-12-02T11:11:30.321818,,34.0,2025-12-02T11:45:30.321818,,,,,,,,,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,75,Lotus Samkong,2809,2025-12-02T11:11:30.321818,,35.0,2025-12-02T11:46:30.321818,,,,,,,,,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,76,Andamanda Phuket Waterpark,2935,2025-12-02T11:11:30.321818,,36.0,2025-12-02T11:47:30.321818,,,,,,,,,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,77,Kathu Fresh Market,3266,2025-12-02T11:11:30.321818,,39.0,2025-12-02T11:50:30.321818,,,,,,,,,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,78,PTT Station Kathu,3459,2025-12-02T11:11:30.321818,,41.0,2025-12-02T11:52:30.321818,,,,,,,,,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,79,Siko,3649,2025-12-02T11:11:30.321818,,42.0,2025-12-02T11:53:30.321818,,,,,,,,,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,80,Kathu Police Station,3736,2025-12-02T11:11:30.321818,,43.0,2025-12-02T11:54:30.321818,,,,,,,,,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,81,Coffee Mania,4922,2025-12-02T11:11:30.321818,,61.0,2025-12-02T12:12:30.321818,,,,,,,,,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,82,Malin Plaza,5178,2025-12-02T11:11:30.321818,,65.0,2025-12-02T12:16:30.321818,,,,,,,,,,,,,,,,,,,,,,,,,
10-1265,Dragon Line,14,Mongkhonnimit Temple,886,2025-12-02T11:11:30.322163,2025-12-02T11:13:32.215234,1.0,2025-12-02T11:12:30.322163,1.03,,,,,,,,,,,,,,,,,,,,,,,,
10-1265,Dragon Line,15,Limelight Phuket,960,2025-12-02T11:11:30.322163,2025-12-02T11:16:34.627492,3.0,2025-12-02T11:14:30.322163,2.07,,,,,,,,,,,,,,,,,,,,,,,,
10-1152,Rawai -> Airport,28,Bangla Patong ,3858,2025-12-02T11:11:30.321449,2025-12-02T11:13:32.894203,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-1152,Rawai -> Airport,29,Four Point Patong,4204,2025-12-02T11:11:30.321449,2025-12-02T11:14:33.743294,6.0,2025-12-02T11:17:30.321449,-2.94,,,,,,,,,,,,,,,,,,,,,,,,
10-1152,Rawai -> Airport,30,Kalim School,4320,2025-12-02T11:11:30.321449,2025-12-02T11:16:35.481834,7.0,2025-12-02T11:18:30.321449,-1.91,,,,,,,,,,,,,,,,,,,,,,,,
10-1152,Rawai -> Airport,31,Kalim Bus Stop,4437,2025-12-02T11:11:30.321449,2025-12-02T11:17:36.394949,9.0,2025-12-02T11:20:30.321449,-2.9,,,,,,,,,,,,,,,,,,,,,,,,
10-1152,Rawai -> Airport,32,Big C Kamala,5519,2025-12-02T11:11:30.321449,2025-12-02T11:26:13.768333,19.0,2025-12-02T11:30:30.321449,-4.28,,,,,,,,,,,,,,,,,,,,,,,,
10-1152,Rawai -> Airport,33,Phuket Fantasea,5751,2025-12-02T11:11:30.321449,2025-12-02T11:30:17.504878,21.0,2025-12-02T11:32:30.321449,-2.21,2.0,2025-12-02T11:28:44.187343,1.56,,,,,,,,,,,,,,,,,,,,,
10-1152,Rawai -> Airport,34,Kamala Muslim Cemetery,5863,2025-12-02T11:11:30.321449,2025-12-02T11:31:18.321110,22.0,2025-12-02T11:33:30.321449,-2.2,3.0,2025-12-02T11:29:44.187343,1.57,,,,,,,,,,,,,,,,,,,,,
10-1152,Rawai -> Airport,35,Cafe De Mar,5945,2025-12-02T11:11:30.321449,2025-12-02T11:31:18.321110,23.0,2025-12-02T11:34:30.321449,-3.2,4.0,2025-12-02T11:30:44.187343,0.57,,,,,,,,,,,,,,,,,,,,,
10-1152,Rawai -> Airport,36,Surin Beach,6442,2025-12-02T11:11:30.321449,,28.0,2025-12-02T11:39:30.321449,,8.0,2025-12-02T11:34:44.187343,,,,,,,,,,,,,,,,,,,,,,
