licence,route,stop_id,stop_name,stop_index,registration_time,arrival_time,eta_min_T0,eta_ts_T0,error_T0,eta_min_T15,eta_ts_T15,error_T15,eta_min_T30,eta_ts_T30,error_T30,eta_min_T45,eta_ts_T45,error_T45,eta_min_T60,eta_ts_T60,error_T60,eta_min_T75,eta_ts_T75,error_T75,eta_min_T90,eta_ts_T90,error_T90,eta_min_T105,eta_ts_T105,error_T105,eta_min_T120,eta_ts_T120,error_T120
10-1148,Rawai -> Airport,20,Kata Palm,1780,2025-12-02T10:48:34.029911,2025-12-02T10:49:35.847963,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,21,OZO Kata,1937,2025-12-02T10:48:34.029911,2025-12-02T10:52:08.086546,2.0,2025-12-02T10:50:34.029911,1.57,,,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,22,Peach Blossom,1963,2025-12-02T10:48:34.029911,2025-12-02T10:52:08.086546,3.0,2025-12-02T10:51:34.029911,0.57,,,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,23,Karon Stadium,2064,2025-12-02T10:48:34.029911,2025-12-02T10:53:08.988730,4.0,2025-12-02T10:52:34.029911,0.58,,,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,24,Woraburi Karon,2369,2025-12-02T10:48:34.029911,2025-12-02T10:57:42.812885,8.0,2025-12-02T10:56:34.029911,1.15,,,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,25,Karon Circle,2454,2025-12-02T10:48:34.029911,2025-12-02T10:58:43.658599,9.0,2025-12-02T10:57:34.029911,1.16,,,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,26,Secret cliff resort ,2997,2025-12-02T10:48:34.029911,2025-12-02T11:05:19.881068,14.0,2025-12-02T11:02:34.029911,2.76,1.0,2025-12-02T11:04:48.231783,0.53,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,27,Patong Bus Stop,3674,2025-12-02T10:48:34.029911,,20.0,2025-12-02T11:08:34.029911,,7.0,2025-12-02T11:10:48.231783,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,28,Bangla Patong ,3858,2025-12-02T10:48:34.029911,,24.0,2025-12-02T11:12:34.029911,,11.0,2025-12-02T11:14:48.231783,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,29,Four Point Patong,4204,2025-12-02T10:48:34.029911,,31.0,2025-12-02T11:19:34.029911,,18.0,2025-12-02T11:21:48.231783,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,30,Kalim School,4320,2025-12-02T10:48:34.029911,,32.0,2025-12-02T11:20:34.029911,,19.0,2025-12-02T11:22:48.231783,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,31,Kalim Bus Stop,4437,2025-12-02T10:48:34.029911,,33.0,2025-12-02T11:21:34.029911,,20.0,2025-12-02T11:23:48.231783,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,32,Big C Kamala,5519,2025-12-02T10:48:34.029911,,43.0,2025-12-02T11:31:34.029911,,30.0,2025-12-02T11:33:48.231783,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,33,Phuket Fantasea,5751,2025-12-02T10:48:34.029911,,45.0,2025-12-02T11:33:34.029911,,33.0,2025-12-02T11:36:48.231783,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,34,Kamala Muslim Cemetery,5863,2025-12-02T10:48:34.029911,,47.0,2025-12-02T11:35:34.029911,,34.0,2025-12-02T11:37:48.231783,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,35,Cafe De Mar,5945,2025-12-02T10:48:34.029911,,47.0,2025-12-02T11:35:34.029911,,34.0,2025-12-02T11:37:48.231783,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,36,Surin Beach,6442,2025-12-02T10:48:34.029911,,52.0,2025-12-02T11:40:34.029911,,39.0,2025-12-02T11:42:48.231783,,,,,,,,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,37,Lotus Cherngtalay,7024,2025-12-02T10:48:34.029911,,58.0,2025-12-02T11:46:34.029911,,45.0,2025-12-02T11:48:48.231783,,,,,,,,,,,,,,,,,,,,,,
