licence,route,start_index,stop_index,stop_no,stop_name_eng,stop_name_th,eta_0min,predicted_arrival_time_0min,actual_arrival_time,time_difference_min,eta_15min
10-1221,Bus 2 -> Bus 1 -> Patong,5036,2,107,Phuket Bus Terminal 2,สถานีขนส่งภูเก็ต 2,0,2025-11-19 14:56:18.978132,,,0.0
10-1221,Bus 2 -> Bus 1 -> Patong,5036,205,108,Big C Market Thepkrasattri,บิ๊กซี มาร์เก็ต เทพกระษัตรี,0,2025-11-19 14:56:18.978132,,,0.0
10-1221,Bus 2 -> Bus 1 -> Patong,5036,427,109,Ban Kuku School,โรงเรียนบ้านกู้กู,0,2025-11-19 14:56:18.978132,,,0.0
10-1221,Bus 2 -> Bus 1 -> Patong,5036,522,110,Dcondo Campus Kuku,ดีคอนโด กู้กู,0,2025-11-19 14:56:18.978132,,,0.0
10-1221,Bus 2 -> Bus 1 -> Patong,5036,680,111,Soi Thachin,ป้ายซอยท่าจีน,0,2025-11-19 14:56:18.978132,,,0.0
10-1221,Bus 2 -> Bus 1 -> Patong,5036,789,112,Big C Mini Kingkaew,บิ๊กซีมินิ กิ่งแก้ว,0,2025-11-19 14:56:18.978132,,,0.0
10-1221,Bus 2 -> Bus 1 -> Patong,5036,939,113,Baan Natkamon,บ้านณัฐกมล,0,2025-11-19 14:56:18.978132,,,0.0
10-1221,Bus 2 -> Bus 1 -> Patong,5036,1116,114,Phuket Provincial Cooperative Office,สำนักงานสหกรณ์จังหวัด,0,2025-11-19 14:56:18.978132,,,0.0
10-1221,Bus 2 -> Bus 1 -> Patong,5036,1246,115,Sanamchai,สนามชัย,0,2025-11-19 14:56:18.978132,,,0.0
10-1221,Bus 2 -> Bus 1 -> Patong,5036,1587,68,Phuket Bus Terminal 1,สถานีขนส่งภูเก็ต 1,0,2025-11-19 14:56:18.978132,,,0.0
10-1221,Bus 2 -> Bus 1 -> Patong,5036,1886,69,Sanamchai,สนามชัย,0,2025-11-19 14:56:18.978132,,,0.0
10-1221,Bus 2 -> Bus 1 -> Patong,5036,2019,70,Satree Phuket School,โรงเรียนสตรีภูเก็ต,0,2025-11-19 14:56:18.978132,,,0.0
10-1221,Bus 2 -> Bus 1 -> Patong,5036,2111,71,Phuket Wittayalai School,โรงเรียนภูเก็ตวิทยาลัย,0,2025-11-19 14:56:18.978132,,,0.0
10-1221,Bus 2 -> Bus 1 -> Patong,5036,2334,72,Vachira Phuket Hospital,โรงพยาบาลวชิระภูเก็ต,0,2025-11-19 14:56:18.978132,,,0.0
10-1221,Bus 2 -> Bus 1 -> Patong,5036,2559,73,Bangkok Hospital Phuket,โรงพยาบาลกรุงเทพภูเก็ต,0,2025-11-19 14:56:18.978132,,,0.0
10-1221,Bus 2 -> Bus 1 -> Patong,5036,2715,74,Chillva Market,ตลาดชิลวา,0,2025-11-19 14:56:18.978132,,,0.0
10-1221,Bus 2 -> Bus 1 -> Patong,5036,2809,75,Lotus Samkong,โลตัส สามกอง,0,2025-11-19 14:56:18.978132,,,0.0
10-1221,Bus 2 -> Bus 1 -> Patong,5036,2935,76,Andamanda Phuket Waterpark,สวนน้ำอันดามันดา,0,2025-11-19 14:56:18.978132,,,0.0
10-1221,Bus 2 -> Bus 1 -> Patong,5036,3266,77,Kathu Fresh Market,ตลาดสดกะทู้,0,2025-11-19 14:56:18.978132,,,0.0
10-1221,Bus 2 -> Bus 1 -> Patong,5036,3459,78,PTT Station Kathu,ปตท. กะทู้,0,2025-11-19 14:56:18.978132,,,0.0
10-1221,Bus 2 -> Bus 1 -> Patong,5036,3649,79,Siko,สี่กอ,0,2025-11-19 14:56:18.978132,,,0.0
10-1221,Bus 2 -> Bus 1 -> Patong,5036,3736,80,Kathu Police Station,สถานีตำรวจภูธรกะทู้,0,2025-11-19 14:56:18.978132,,,0.0
10-1221,Bus 2 -> Bus 1 -> Patong,5036,4922,81,Coffee Mania,คอฟฟี่ มาเนีย,0,2025-11-19 14:56:18.978132,,,0.0
10-1221,Bus 2 -> Bus 1 -> Patong,5036,5178,82,Malin Plaza,มาลินพลาซ่า,2,2025-11-19 14:56:18.978132,2025-11-19 14:59:20.953136,3.0329167333333333,4.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,0,83,Patong,ป่าตอง,0,2025-11-19 14:56:19.050893,,,0.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,115,84,Malin Plaza,มาลินพลาซ่า,0,2025-11-19 14:56:19.050893,,,0.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,371,85,Makro Nanai,แม็คโคร นาใน,0,2025-11-19 14:56:19.050893,,,0.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,1550,86,Kathu Police Station,สถานีตำรวจภูธรกะทู้,0,2025-11-19 14:56:19.050893,,,0.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,1652,87,Siko,สี่กอ,0,2025-11-19 14:56:19.050893,,,0.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,1843,88,PTT Station Kathu,ปตท. กะทู้,0,2025-11-19 14:56:19.050893,,,0.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,2031,89,Kathu Fresh Market,ตลาดสดกะทู้,0,2025-11-19 14:56:19.050893,,,0.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,2377,90,Andamanda Phuket Waterpark,สวนน้ำอันดามันดา,0,2025-11-19 14:56:19.050893,,,0.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,2484,91,Lotus Samkong,โลตัส สามกอง,0,2025-11-19 14:56:19.050893,2025-11-19 14:57:19.987345,1.0156075333333334,0.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,2580,92,Chillva Market,ตลาดชิลวา,1,2025-11-19 14:56:19.050893,2025-11-19 15:01:22.008753,5.049297666666666,0.0
10-1219,Patong -> Bus 1 -> Bus 2,2414,2727,93,Bangkok Hospital Phuket,โรงพยาบาลกรุงเทพภูเก็ต,4,2025-11-19 14:56:19.050893,2025-11-19 15:08:25.884074,12.11388635,0.0
