licence,route,stop_id,stop_name,stop_index,registration_time,arrival_time,eta_min_T0,eta_ts_T0,error_T0,eta_min_T15,eta_ts_T15,error_T15,eta_min_T30,eta_ts_T30,error_T30,eta_min_T45,eta_ts_T45,error_T45,eta_min_T60,eta_ts_T60,error_T60,eta_min_T75,eta_ts_T75,error_T75,eta_min_T90,eta_ts_T90,error_T90,eta_min_T105,eta_ts_T105,error_T105,eta_min_T120,eta_ts_T120,error_T120
10-1148,Rawai -> Airport,40,Baan Khian,8300,2025-12-02T11:33:13.411994,2025-12-02T12:32:23.272943,49.0,2025-12-02T12:22:13.411994,10.16,29.0,2025-12-02T12:17:31.346722,14.87,16.0,2025-12-02T12:19:20.140829,13.05,11.0,2025-12-02T12:30:35.168758,1.8,,,,,,,,,,,,,,,
10-1148,Rawai -> Airport,41,Thalang Public Health Office,8532,2025-12-02T11:33:13.411994,2025-12-02T12:35:25.060471,51.0,2025-12-02T12:24:13.411994,11.19,32.0,2025-12-02T12:20:31.346722,14.9,19.0,2025-12-02T12:22:20.140829,13.08,13.0,2025-12-02T12:32:35.168758,2.83,2.0,2025-12-02T12:35:23.870999,0.02,,,,,,,,,,,,
10-1264,Dragon Line,5,Royal Phuket City Hotel,243,2025-12-02T11:33:13.412623,2025-12-02T11:34:14.625954,4.0,2025-12-02T12:27:42.080826,,,,,,,,,,,,,,,,,,,,,,,,,
10-1264,Dragon Line,6,Pearl Hotel Phuket,333,2025-12-02T11:33:13.412623,2025-12-02T11:36:16.401253,2.0,2025-12-02T11:35:13.412623,1.05,,,,,,,,,,,,,,,,,,,,,,,,
10-1264,Dragon Line,7,Mc Donald's,435,2025-12-02T11:33:13.412623,2025-12-02T11:37:17.126774,5.0,2025-12-02T11:38:13.412623,-0.94,,,,,,,,,,,,,,,,,,,,,,,,
10-1264,Dragon Line,8,Surin Circle Clock Tower,523,2025-12-02T11:33:13.412623,2025-12-02T11:40:19.749232,8.0,2025-12-02T11:41:13.412623,-0.89,,,,,,,,,,,,,,,,,,,,,,,,
10-1264,Dragon Line,9,Municipal Parking,593,2025-12-02T11:33:13.412623,2025-12-02T11:41:20.664761,9.0,2025-12-02T11:42:13.412623,-0.88,,,,,,,,,,,,,,,,,,,,,,,,
10-1264,Dragon Line,10,Krungsri Bank,647,2025-12-02T11:33:13.412623,2025-12-02T11:42:22.066478,11.0,2025-12-02T11:44:13.412623,-1.86,,,,,,,,,,,,,,,,,,,,,,,,
10-1264,Dragon Line,11,WANLAMUN & EGG E EGG @ OLD TOWN,692,2025-12-02T11:33:13.412623,2025-12-02T11:43:23.251980,12.0,2025-12-02T11:45:13.412623,-1.84,2.0,2025-12-02T12:43:51.087408,,,,,,,,,,,,,,,,,,,,,,
10-1264,Dragon Line,12,Phuket Thaihua Museum,760,2025-12-02T11:33:13.412623,2025-12-02T11:44:24.691603,14.0,2025-12-02T11:47:13.412623,-2.81,3.0,2025-12-02T12:44:51.087408,,,,,,,,,,,,,,,,,,,,,,
10-1264,Dragon Line,13,Dibuk Road,830,2025-12-02T11:33:13.412623,2025-12-02T11:45:25.911144,17.0,2025-12-02T11:50:13.412623,-4.79,5.0,2025-12-02T12:46:51.087408,,,,,,,,,,,,,,,,,,,,,,
10-1264,Dragon Line,14,Mongkhonnimit Temple,886,2025-12-02T11:33:13.412623,2025-12-02T11:47:28.193606,18.0,2025-12-02T11:51:13.412623,-3.75,7.0,2025-12-02T12:48:51.087408,,,,,,,,,,,,,,,,,,,,,,
10-1264,Dragon Line,15,Limelight Phuket,960,2025-12-02T11:33:13.412623,2025-12-02T11:49:30.483165,20.0,2025-12-02T11:53:13.412623,-3.72,1.0,2025-12-02T11:49:29.301299,0.02,,,,,,,,,,,,,,,,,,,,,
10-1150,Airport -> Rawai,49,Intercontinental Kamala,4912,2025-12-02T11:33:13.411769,,1.0,2025-12-02T11:34:13.411769,,1.0,2025-12-02T11:49:32.466117,,1.0,2025-12-02T12:04:20.647997,,1.0,2025-12-02T12:19:34.831617,,1.0,2025-12-02T12:34:24.266828,,1.0,2025-12-02T12:49:32.225217,,1.0,2025-12-02T13:04:40.446029,,1.0,2025-12-02T13:19:18.418276,,,,
10-1150,Airport -> Rawai,50,Kamala Muslim Cemetery,5026,2025-12-02T11:33:13.411769,,2.0,2025-12-02T11:35:13.411769,,2.0,2025-12-02T11:50:32.466117,,2.0,2025-12-02T12:05:20.647997,,2.0,2025-12-02T12:20:34.831617,,2.0,2025-12-02T12:35:24.266828,,2.0,2025-12-02T12:50:32.225217,,2.0,2025-12-02T13:05:40.446029,,2.0,2025-12-02T13:20:18.418276,,,,
