licence,route,stop_id,stop_name,stop_index,arrival_time,eta_pred_at_T0,accuracy_T0,eta_pred_at_T15,accuracy_T15,eta_pred_at_T30,accuracy_T30,eta_pred_at_T45,accuracy_T45,eta_pred_at_T60,accuracy_T60,eta_pred_at_T75,accuracy_T75,eta_pred_at_T90,accuracy_T90,eta_pred_at_T105,accuracy_T105,eta_pred_at_T120,accuracy_T120
10-1148,Rawai -> Airport,36,Surin Beach,6442,2025-12-01T11:21:35.640738,2025-12-01T10:56:17.691004,25.3,2025-12-01T10:57:37.046849,23.98,2025-12-01T11:21:50.152432,-0.24,2025-12-01T11:21:23.313788,0.21,2025-12-01T11:19:32.009799,2.06,,,,,,,,
10-1148,Rawai -> Airport,37,Lotus Cherngtalay,7024,2025-12-01T11:28:39.865283,2025-12-01T11:03:17.691004,25.37,2025-12-01T11:05:37.046849,23.05,2025-12-01T11:29:50.152432,-1.17,2025-12-01T11:29:23.313788,-0.72,2025-12-01T11:27:32.009799,1.13,,,,,,,,
10-1148,Rawai -> Airport,38,Laguna,7313,2025-12-01T11:38:45.788283,2025-12-01T11:09:17.691004,29.47,2025-12-01T11:11:37.046849,27.15,2025-12-01T11:34:50.152432,3.93,2025-12-01T11:34:23.313788,4.37,2025-12-01T11:33:32.009799,5.23,2025-12-01T11:33:40.968852,5.08,,,,,,
10-1148,Rawai -> Airport,39,Cherngtalay School,7346,2025-12-01T11:38:45.788283,2025-12-01T11:09:17.691004,29.47,2025-12-01T11:11:37.046849,27.15,2025-12-01T11:34:50.152432,3.93,2025-12-01T11:34:23.313788,4.37,2025-12-01T11:33:32.009799,5.23,2025-12-01T11:34:40.968852,4.08,,,,,,
10-1148,Rawai -> Airport,40,Baan Khian,8300,2025-12-01T11:47:51.307319,2025-12-01T11:19:17.691004,28.56,2025-12-01T11:20:37.046849,27.24,2025-12-01T11:44:50.152432,3.02,2025-12-01T11:44:23.313788,3.47,2025-12-01T11:43:32.009799,4.32,2025-12-01T11:43:40.968852,4.17,,,,,,
10-1148,Rawai -> Airport,41,Thalang Public Health Office,8532,2025-12-01T11:53:54.887174,2025-12-01T11:21:17.691004,32.62,2025-12-01T11:23:37.046849,30.3,2025-12-01T11:46:50.152432,7.08,2025-12-01T11:46:23.313788,7.53,2025-12-01T11:45:32.009799,8.38,2025-12-01T11:46:40.968852,7.23,,,,,,
10-1265,Dragon Line,6,Pearl Hotel Phuket,333,2025-12-01T17:32:54.363179,2025-12-01T10:15:17.691637,437.61,,,,,,,,,,,,,,,,
10-1265,Dragon Line,7,Mc Donald's,435,2025-12-01T17:33:55.389613,2025-12-01T10:16:17.691637,437.63,,,,,,,,,,,,,,,,
10-1265,Dragon Line,8,Surin Circle Clock Tower,523,2025-12-01T17:36:27.945644,2025-12-01T10:18:17.691637,438.17,,,,,,,,,,,,,,,,
10-1265,Dragon Line,9,Municipal Parking,593,2025-12-01T17:37:59.354738,2025-12-01T10:19:17.691637,438.69,2025-12-01T15:47:46.817364,110.21,,,,,,,,,,,,,,
10-1265,Dragon Line,10,Krungsri Bank,647,2025-12-01T17:37:59.354738,2025-12-01T10:20:17.691637,437.69,2025-12-01T13:39:12.196222,238.79,,,,,,,,,,,,,,
10-1265,Dragon Line,11,WANLAMUN & EGG E EGG @ OLD TOWN,692,2025-12-01T17:39:00.332220,2025-12-01T10:21:17.691637,437.71,2025-12-01T11:04:53.504461,394.11,,,,,,,,,,,,,,
10-1265,Dragon Line,12,Phuket Thaihua Museum,760,2025-12-01T17:41:02.493017,2025-12-01T10:22:17.691637,438.75,2025-12-01T11:06:53.504461,394.15,,,,,,,,,,,,,,
10-1265,Dragon Line,13,Dibuk Road,830,2025-12-01T17:42:33.919250,2025-12-01T10:24:17.691637,438.27,2025-12-01T11:07:53.504461,394.67,,,,,,,,,,,,,,
10-1265,Dragon Line,14,Mongkhonnimit Temple,886,2025-12-01T17:44:35.974479,2025-12-01T10:25:17.691637,439.3,2025-12-01T11:08:53.504461,395.71,,,,,,,,,,,,,,
10-1265,Dragon Line,15,Limelight Phuket,960,2025-12-01T17:20:42.140452,2025-12-01T10:26:17.691637,414.41,2025-12-01T11:10:53.504461,369.81,,,,,,,,,,,,,,
10-1223,Patong -> Bus 1 -> Bus 2,85,Makro Nanai,371,2025-12-01T17:32:50.116229,2025-12-01T10:17:17.691468,435.54,,,,,,,,,,,,,,,,
10-1223,Patong -> Bus 1 -> Bus 2,86,Kathu Police Station,1550,2025-12-01T17:53:40.126185,2025-12-01T10:35:17.691468,438.37,2025-12-01T10:34:36.222381,439.07,,,,,,,,,,,,,,
10-1223,Patong -> Bus 1 -> Bus 2,87,Siko,1652,2025-12-01T17:57:43.822519,2025-12-01T10:35:17.691468,442.44,2025-12-01T10:35:36.222381,442.13,,,,,,,,,,,,,,
10-1223,Patong -> Bus 1 -> Bus 2,88,PTT Station Kathu,1843,2025-12-01T17:58:44.791401,2025-12-01T10:37:17.691468,441.45,2025-12-01T10:36:36.222381,442.14,,,,,,,,,,,,,,
10-1223,Patong -> Bus 1 -> Bus 2,89,Kathu Fresh Market,2031,2025-12-01T18:03:50.115830,2025-12-01T10:39:17.691468,444.54,2025-12-01T10:38:36.222381,445.23,2025-12-01T18:01:17.149954,2.55,,,,,,,,,,,,
10-1223,Patong -> Bus 1 -> Bus 2,90,Andamanda Phuket Waterpark,2377,2025-12-01T18:05:52.526510,2025-12-01T10:41:17.691468,444.58,2025-12-01T10:40:36.222381,445.27,2025-12-01T18:04:17.149954,1.59,,,,,,,,,,,,
10-1223,Patong -> Bus 1 -> Bus 2,91,Lotus Samkong,2484,2025-12-01T18:12:58.881069,2025-12-01T10:42:17.691468,450.69,2025-12-01T10:42:36.222381,450.38,2025-12-01T10:45:43.808348,447.25,,,,,,,,,,,,
