licence,route,stop_id,stop_name,stop_index,arrival_time,eta_pred_at_T0,accuracy_T0,eta_pred_at_T15,accuracy_T15,eta_pred_at_T30,accuracy_T30,eta_pred_at_T45,accuracy_T45,eta_pred_at_T60,accuracy_T60,eta_pred_at_T75,accuracy_T75,eta_pred_at_T90,accuracy_T90,eta_pred_at_T105,accuracy_T105,eta_pred_at_T120,accuracy_T120
10-1265,Dragon Line,5,Royal Phuket City Hotel,243,2025-12-02T10:03:21.442930,2025-12-02T09:54:16.114999,9.09,,,,,,,,,,,,,,,,
10-1265,Dragon Line,6,Pearl Hotel Phuket,333,2025-12-02T10:04:22.026951,2025-12-02T09:55:16.114999,9.1,,,,,,,,,,,,,,,,
10-1265,Dragon Line,7,Mc Donald's,435,2025-12-02T10:05:22.548523,2025-12-02T09:58:16.114999,7.11,,,,,,,,,,,,,,,,
10-1265,Dragon Line,8,Surin Circle Clock Tower,523,2025-12-02T10:07:23.537801,2025-12-02T09:59:16.114999,8.12,,,,,,,,,,,,,,,,
10-1265,Dragon Line,9,Municipal Parking,593,2025-12-02T10:08:24.071200,2025-12-02T10:01:16.114999,7.13,,,,,,,,,,,,,,,,
10-1265,Dragon Line,10,Krungsri Bank,647,2025-12-02T10:10:25.121318,2025-12-02T10:02:16.114999,8.15,,,,,,,,,,,,,,,,
10-1265,Dragon Line,11,WANLAMUN & EGG E EGG @ OLD TOWN,692,2025-12-02T10:11:25.618346,2025-12-02T10:03:16.114999,8.16,,,,,,,,,,,,,,,,
10-1265,Dragon Line,12,Phuket Thaihua Museum,760,,2025-12-02T10:04:16.114999,,,,,,,,,,,,,,,,,
10-1265,Dragon Line,13,Dibuk Road,830,,2025-12-02T10:05:16.114999,,,,,,,,,,,,,,,,,
10-1265,Dragon Line,14,Mongkhonnimit Temple,886,,2025-12-02T10:07:16.114999,,,,,,,,,,,,,,,,,
10-1265,Dragon Line,15,Limelight Phuket,960,,2025-12-02T10:08:16.114999,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,109,Ban Kuku School,427,,2025-12-02T09:55:16.114121,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,110,Dcondo Campus Kuku,522,,2025-12-02T09:56:16.114121,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,111,Soi Thachin,680,,2025-12-02T09:58:16.114121,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,112,Big C Mini Kingkaew,789,,2025-12-02T09:59:16.114121,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,113,Baan Natkamon,939,,2025-12-02T10:00:16.114121,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,114,Phuket Provincial Cooperative Office,1116,,2025-12-02T10:02:16.114121,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,115,Sanamchai,1246,,2025-12-02T10:03:16.114121,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,68,Phuket Bus Terminal 1,1587,,2025-12-02T10:10:16.114121,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,69,Sanamchai,1886,,2025-12-02T10:18:16.114121,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,70,Satree Phuket School,2019,,2025-12-02T10:20:16.114121,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,71,Phuket Wittayalai School,2111,,2025-12-02T10:21:16.114121,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,72,Vachira Phuket Hospital,2334,,2025-12-02T10:25:16.114121,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,73,Bangkok Hospital Phuket,2559,,2025-12-02T10:28:16.114121,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,74,Chillva Market,2715,,2025-12-02T10:30:16.114121,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,75,Lotus Samkong,2809,,2025-12-02T10:31:16.114121,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,76,Andamanda Phuket Waterpark,2935,,2025-12-02T10:32:16.114121,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,77,Kathu Fresh Market,3266,,2025-12-02T10:35:16.114121,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,78,PTT Station Kathu,3459,,2025-12-02T10:37:16.114121,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,79,Siko,3649,,2025-12-02T10:39:16.114121,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,80,Kathu Police Station,3736,,2025-12-02T10:40:16.114121,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,81,Coffee Mania,4922,,2025-12-02T10:57:16.114121,,,,,,,,,,,,,,,,,
10-1219,Bus 2 -> Bus 1 -> Patong,82,Malin Plaza,5178,,2025-12-02T11:01:16.114121,,,,,,,,,,,,,,,,,
10-1151,Rawai -> Airport,36,Surin Beach,6442,2025-12-02T09:56:18.745023,2025-12-02T09:55:16.113971,1.04,,,,,,,,,,,,,,,,
10-1151,Rawai -> Airport,37,Lotus Cherngtalay,7024,2025-12-02T10:02:22.413274,2025-12-02T10:03:16.113971,-0.9,,,,,,,,,,,,,,,,
10-1151,Rawai -> Airport,38,Laguna,7313,2025-12-02T10:10:27.544539,2025-12-02T10:09:16.113971,1.19,,,,,,,,,,,,,,,,
10-1151,Rawai -> Airport,39,Cherngtalay School,7346,2025-12-02T10:10:27.544539,2025-12-02T10:09:16.113971,1.19,,,,,,,,,,,,,,,,
10-1151,Rawai -> Airport,40,Baan Khian,8300,,2025-12-02T10:19:16.113971,,,,,,,,,,,,,,,,,
10-1151,Rawai -> Airport,41,Thalang Public Health Office,8532,,2025-12-02T10:21:16.113971,,,,,,,,,,,,,,,,,
10-1150,Airport -> Rawai,45,Cherngtalay School,3541,2025-12-02T09:55:18.235954,2025-12-02T09:58:16.113805,-2.96,,,,,,,,,,,,,,,,
10-1150,Airport -> Rawai,46,Laguna,3576,2025-12-02T09:55:18.235954,2025-12-02T09:58:16.113805,-2.96,,,,,,,,,,,,,,,,
10-1150,Airport -> Rawai,47,Lotus Cherngtalay,3837,2025-12-02T09:55:18.235954,2025-12-02T10:02:16.113805,-6.96,,,,,,,,,,,,,,,,
10-1150,Airport -> Rawai,48,Surin Beach,4456,2025-12-02T09:55:18.235954,2025-12-02T10:07:16.113805,-11.96,,,,,,,,,,,,,,,,
10-1150,Airport -> Rawai,49,Intercontinental Kamala,4912,,2025-12-02T10:12:16.113805,,2025-12-02T10:09:26.570382,,,,,,,,,,,,,,,
10-1150,Airport -> Rawai,50,Kamala Muslim Cemetery,5026,,2025-12-02T10:13:16.113805,,2025-12-02T10:10:26.570382,,,,,,,,,,,,,,,
10-1150,Airport -> Rawai,51,Phuket Fantasea,5136,,2025-12-02T10:14:16.113805,,2025-12-02T10:12:26.570382,,,,,,,,,,,,,,,
10-1150,Airport -> Rawai,52,Big C Kamala,5396,,2025-12-02T10:17:16.113805,,2025-12-02T10:14:26.570382,,,,,,,,,,,,,,,
10-1150,Airport -> Rawai,53,Kalim Bus Stop,6450,,2025-12-02T10:27:16.113805,,2025-12-02T10:25:26.570382,,,,,,,,,,,,,,,
10-1150,Airport -> Rawai,54,Kalim School,6540,,2025-12-02T10:28:16.113805,,2025-12-02T10:26:26.570382,,,,,,,,,,,,,,,
10-1150,Airport -> Rawai,55,Diamond Cliff Resort & Spa,6630,,2025-12-02T10:29:16.113805,,2025-12-02T10:27:26.570382,,,,,,,,,,,,,,,
10-1150,Airport -> Rawai,56,Indigo Patong,6893,,2025-12-02T10:34:16.113805,,2025-12-02T10:32:26.570382,,,,,,,,,,,,,,,
10-1150,Airport -> Rawai,57,Patong PEA,7083,,2025-12-02T10:38:16.113805,,2025-12-02T10:36:26.570382,,,,,,,,,,,,,,,
10-1150,Airport -> Rawai,58,Holiday Inn Resort Patong,7169,,2025-12-02T10:39:16.113805,,2025-12-02T10:37:26.570382,,,,,,,,,,,,,,,
