licence,route,stop_id,stop_name,stop_index,arrival_time,eta_pred_at_T0,accuracy_T0,eta_pred_at_T15,accuracy_T15,eta_pred_at_T30,accuracy_T30,eta_pred_at_T45,accuracy_T45,eta_pred_at_T60,accuracy_T60,eta_pred_at_T75,accuracy_T75,eta_pred_at_T90,accuracy_T90,eta_pred_at_T105,accuracy_T105,eta_pred_at_T120,accuracy_T120
10-1148,Airport -> Rawai,65,Beyond hotel Kata,9157,,2025-11-27T18:09:57.069827,,2025-11-27T18:21:06.563398,,2025-11-27T18:36:34.189113,,,,,,,,,,,,,
10-1148,Airport -> Rawai,66,Andaman Cannacia Resort,9327,,2025-11-27T18:12:57.069827,,2025-11-27T18:23:06.563398,,2025-11-27T18:38:34.189113,,,,,,,,,,,,,
10-1148,Airport -> Rawai,67,Sai Yuan,10247,,2025-11-27T18:20:57.069827,,2025-11-27T18:32:06.563398,,2025-11-27T18:47:34.189113,,,,,,,,,,,,,
10-1218,Patong -> Bus 1 -> Bus 2,91,Lotus Samkong,2484,2025-11-27T16:56:27.824732,2025-11-27T16:55:57.070113,0.51,,,,,,,,,,,,,,,,
10-1218,Patong -> Bus 1 -> Bus 2,92,Chillva Market,2580,2025-11-27T16:57:28.291755,2025-11-27T16:56:57.070113,0.52,,,,,,,,,,,,,,,,
10-1218,Patong -> Bus 1 -> Bus 2,93,Bangkok Hospital Phuket,2727,2025-11-27T17:01:30.640584,2025-11-27T16:59:57.070113,1.56,,,,,,,,,,,,,,,,
10-1218,Patong -> Bus 1 -> Bus 2,94,Vachira Phuket Hospital,2966,2025-11-27T17:04:32.282970,2025-11-27T17:02:57.070113,1.59,,,,,,,,,,,,,,,,
10-1218,Patong -> Bus 1 -> Bus 2,95,Phuket Wittayalai School,3184,2025-11-27T17:07:33.908123,2025-11-27T17:05:57.070113,1.61,,,,,,,,,,,,,,,,
10-1218,Patong -> Bus 1 -> Bus 2,96,Satree Phuket School,3270,2025-11-27T17:09:35.039993,2025-11-27T17:06:57.070113,2.63,,,,,,,,,,,,,,,,
10-1218,Patong -> Bus 1 -> Bus 2,115,Sanamchai,3411,2025-11-27T17:11:36.364261,2025-11-27T17:08:57.070113,2.65,2025-11-27T17:11:05.961827,0.51,,,,,,,,,,,,,,
10-1218,Patong -> Bus 1 -> Bus 2,98,Phuket Bus Terminal 1,3774,2025-11-27T17:15:38.839828,2025-11-27T17:18:57.070113,-3.3,2025-11-27T17:18:05.961827,-2.45,,,,,,,,,,,,,,
10-1218,Patong -> Bus 1 -> Bus 2,99,Sanamchai,4052,,2025-11-27T17:22:57.070113,,2025-11-27T17:22:05.961827,,,,,,,,,,,,,,,
10-1218,Patong -> Bus 1 -> Bus 2,100,Phuket Provincial Cooperative Office,4180,,2025-11-27T17:23:57.070113,,2025-11-27T17:23:05.961827,,,,,,,,,,,,,,,
10-1218,Patong -> Bus 1 -> Bus 2,101,Baan Natkamon,4358,,2025-11-27T17:25:57.070113,,2025-11-27T17:25:05.961827,,,,,,,,,,,,,,,
10-1218,Patong -> Bus 1 -> Bus 2,102,Big C Mini Kingkaew,4507,,2025-11-27T17:27:57.070113,,2025-11-27T17:26:05.961827,,,,,,,,,,,,,,,
10-1218,Patong -> Bus 1 -> Bus 2,103,Soi Thachin,4616,,2025-11-27T17:28:57.070113,,2025-11-27T17:27:05.961827,,,,,,,,,,,,,,,
10-1218,Patong -> Bus 1 -> Bus 2,104,Dcondo Campus Kuku,4776,,2025-11-27T17:29:57.070113,,2025-11-27T17:29:05.961827,,,,,,,,,,,,,,,
10-1218,Patong -> Bus 1 -> Bus 2,105,Ban Kuku School,4859,,2025-11-27T17:30:57.070113,,2025-11-27T17:30:05.961827,,,,,,,,,,,,,,,
10-1218,Patong -> Bus 1 -> Bus 2,106,Big C Market Thepkrasattri,5122,,2025-11-27T17:32:57.070113,,2025-11-27T17:32:05.961827,,,,,,,,,,,,,,,
10-1155,Rawai -> Airport,29,Four Point Patong,4204,2025-11-27T17:01:30.740695,2025-11-27T17:00:57.069917,0.56,,,,,,,,,,,,,,,,
10-1155,Rawai -> Airport,30,Kalim School,4320,2025-11-27T17:03:31.914692,2025-11-27T17:01:57.069917,1.58,,,,,,,,,,,,,,,,
10-1155,Rawai -> Airport,31,Kalim Bus Stop,4437,2025-11-27T17:04:32.501583,2025-11-27T17:02:57.069917,1.59,,,,,,,,,,,,,,,,
