licence,route,stop_id,stop_name,stop_index,registration_time,arrival_time,eta_min_T0,eta_ts_T0,error_T0,eta_min_T15,eta_ts_T15,error_T15,eta_min_T30,eta_ts_T30,error_T30,eta_min_T45,eta_ts_T45,error_T45,eta_min_T60,eta_ts_T60,error_T60,eta_min_T75,eta_ts_T75,error_T75,eta_min_T90,eta_ts_T90,error_T90,eta_min_T105,eta_ts_T105,error_T105,eta_min_T120,eta_ts_T120,error_T120
10-1147,Rawai -> Airport,38,Laguna,7313,2025-12-02T14:52:47.395609,,75.0,2025-12-02T16:07:47.395609,,61.0,2025-12-02T16:09:05.120597,,54.0,2025-12-02T16:16:52.370289,,44.0,2025-12-02T16:22:07.371402,,39.0,2025-12-02T16:31:52.706324,,23.0,2025-12-02T16:31:08.654446,,8.0,2025-12-02T16:31:17.624138,,,,,,,
10-1147,Rawai -> Airport,39,Cherngtalay School,7346,2025-12-02T14:52:47.395609,,75.0,2025-12-02T16:07:47.395609,,62.0,2025-12-02T16:10:05.120597,,55.0,2025-12-02T16:17:52.370289,,44.0,2025-12-02T16:22:07.371402,,39.0,2025-12-02T16:31:52.706324,,24.0,2025-12-02T16:32:08.654446,,8.0,2025-12-02T16:31:17.624138,,,,,,,
10-1147,Rawai -> Airport,40,Baan Khian,8300,2025-12-02T14:52:47.395609,,85.0,2025-12-02T16:17:47.395609,,71.0,2025-12-02T16:19:05.120597,,64.0,2025-12-02T16:26:52.370289,,54.0,2025-12-02T16:32:07.371402,,49.0,2025-12-02T16:41:52.706324,,33.0,2025-12-02T16:41:08.654446,,18.0,2025-12-02T16:41:17.624138,,,,,,,
10-1147,Rawai -> Airport,41,Thalang Public Health Office,8532,2025-12-02T14:52:47.395609,,87.0,2025-12-02T16:19:47.395609,,73.0,2025-12-02T16:21:05.120597,,67.0,2025-12-02T16:29:52.370289,,56.0,2025-12-02T16:34:07.371402,,51.0,2025-12-02T16:43:52.706324,,36.0,2025-12-02T16:44:08.654446,,20.0,2025-12-02T16:43:17.624138,,,,,,,
10-1196,Bus 2 -> Bus 1 -> Patong,81,Coffee Mania,4922,2025-12-02T14:52:47.395695,,9.0,2025-12-02T15:01:47.395695,,,,,,,,,,,,,,,,,,,,,,,,,
10-1196,Bus 2 -> Bus 1 -> Patong,82,Malin Plaza,5178,2025-12-02T14:52:47.395695,,13.0,2025-12-02T15:05:47.395695,,,,,,,,,,,,,,,,,,,,,,,,,
10-1218,Patong -> Bus 1 -> Bus 2,99,Sanamchai,4052,2025-12-02T14:52:47.395944,,39.0,2025-12-02T15:31:47.395944,,26.0,2025-12-02T15:34:02.808761,,2.0,2025-12-02T15:24:48.792622,,,,,,,,,,,,,,,,,,,
10-1218,Patong -> Bus 1 -> Bus 2,100,Phuket Provincial Cooperative Office,4180,2025-12-02T14:52:47.395944,,40.0,2025-12-02T15:32:47.395944,,27.0,2025-12-02T15:35:02.808761,,3.0,2025-12-02T15:25:48.792622,,,,,,,,,,,,,,,,,,,
10-1218,Patong -> Bus 1 -> Bus 2,101,Baan Natkamon,4358,2025-12-02T14:52:47.395944,,42.0,2025-12-02T15:34:47.395944,,29.0,2025-12-02T15:37:02.808761,,5.0,2025-12-02T15:27:48.792622,,,,,,,,,,,,,,,,,,,
10-1218,Patong -> Bus 1 -> Bus 2,102,Big C Mini Kingkaew,4507,2025-12-02T14:52:47.395944,,44.0,2025-12-02T15:36:47.395944,,31.0,2025-12-02T15:39:02.808761,,7.0,2025-12-02T15:29:48.792622,,,,,,,,,,,,,,,,,,,
